CODIGO;VIVIENDA TURISTICA;PLAZAS;PLAZA POR VIVIENDA TURISTICA;PORCENTAJE VIVIENDA TURISTICA;PROV;PROV_LITERAL;MUN;MUN_LITERAL
0105903009;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903010;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903011;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903012;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903013;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903014;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903015;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903016;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903017;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903018;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903019;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903020;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903021;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903022;2;8;4,0;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903023;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903024;1;6;6,0;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903025;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903026;1;2;2,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903027;1;1;1,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903028;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903029;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903030;2;2;1,0;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903031;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903032;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903033;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903034;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903035;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903036;1;6;6,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903037;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903038;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903039;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105903040;1;3;3,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904001;1;3;3,0;0,4;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904002;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904003;2;6;3,0;0,7;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904004;4;17;4,3;0,7;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904005;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904006;2;3;1,5;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904007;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904008;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904009;4;14;3,5;1,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904010;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904011;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904012;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904013;1;4;4,0;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904014;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904015;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904016;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904017;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904018;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904019;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904020;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904021;1;4;4,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904022;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904023;1;4;4,0;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904024;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904025;1;2;2,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904026;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904027;3;10;3,3;0,6;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904028;1;1;1,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904029;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904030;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105904031;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905001;2;3;1,5;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905002;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905003;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905004;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905005;1;5;5,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905006;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905007;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905008;1;2;2,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905009;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905010;1;6;6,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905011;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905012;1;2;2,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905013;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905014;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905015;2;8;4,0;0,5;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905016;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905017;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905018;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905019;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905020;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905021;1;1;1,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905022;1;8;8,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905023;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905024;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905025;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905026;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905027;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905028;1;6;6,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905029;2;6;3,0;0,2;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905030;4;17;4,3;0,3;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905031;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905032;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905033;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905034;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105905035;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105906001;6;18;3,0;0,7;01;Araba/Álava;01059;Vitoria-Gasteiz
