,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1417,5760.0,2984.0,355.0,724.0,684.0,1009,32.5,3.0,46.5,12.5,23.7,2.28,36.4,1067.0,9.275,21.506,13.432,12.250,10.507,24.364,3,11,3.7,0.6
1418,8618.0,4363.0,213.0,753.0,1785.0,1010,32.8,3.2,45.6,15.5,25.4,2.51,29.4,1135.0,12.989,32.973,19.429,17.850,15.732,39.934,8,30,3.8,1.6
1419,7402.0,5038.0,154.0,766.0,1674.0,1011,32.0,2.9,49.3,11.8,31.4,2.32,31.6,939.0,12.805,29.868,18.439,17.150,15.034,35.067,5,19,3.8,0.8
1420,7468.0,4318.0,229.0,719.0,1814.0,1012,34.6,3.2,47.2,13.0,27.2,2.38,35.4,846.0,12.263,29.390,17.623,15.750,14.548,34.866,3,10,3.3,0.6
1421,8511.0,1839.0,346.0,455.0,1133.0,1013,36.6,3.3,40.9,17.2,13.3,2.48,35.3,1682.0,10.279,26.343,15.391,13.650,12.284,31.480,39,149,3.8,3.4
1422,8470.0,3287.0,243.0,463.0,1752.0,1014,34.3,3.4,45.2,13.2,22.0,2.35,32.7,1129.0,11.859,27.986,17.127,15.750,14.215,33.548,6,19,3.2,1.1
1423,6542.0,3123.0,230.0,753.0,1068.0,1015,35.6,3.6,44.4,14.7,22.1,2.4,33.6,958.0,10.059,24.572,14.720,13.300,11.715,28.617,7,23,3.3,1.2
1424,7062.0,3431.0,294.0,686.0,1446.0,1016,34.5,3.2,45.3,14.3,23.8,2.4,33.8,1346.0,11.088,26.899,16.021,13.650,12.920,31.343,13,43,3.3,1.6
1425,6750.0,2752.0,316.0,564.0,1043.0,1017,30.0,2.7,44.5,16.1,21.6,2.51,32.2,1209.0,9.850,24.875,14.633,13.650,11.425,28.854,10,29,2.9,1.4
1426,8594.0,2866.0,269.0,489.0,1655.0,1018,33.4,3.3,42.4,18.0,19.2,2.8,20.7,1612.0,11.535,32.764,17.661,15.750,13.872,39.403,11,51,4.6,1.4
1427,6514.0,2990.0,292.0,578.0,1294.0,1019,33.8,3.3,44.9,13.5,22.9,2.5,29.7,1403.0,10.074,25.631,14.866,13.650,11.669,29.689,24,59,2.5,3.2
1428,6270.0,2374.0,337.0,599.0,852.0,1021,33.6,3.4,42.7,16.3,17.6,2.53,31.5,1721.0,9.034,23.067,13.426,11.550,10.432,26.636,11,25,2.3,1.4
1429,8978.0,3705.0,235.0,493.0,1826.0,1022,32.5,3.1,44.1,16.2,20.6,2.53,27.0,2084.0,12.540,32.347,18.767,17.150,15.237,39.303,6,14,2.3,0.5
1430,8779.0,5209.0,239.0,457.0,1656.0,1023,31.0,2.7,46.5,13.7,25.8,2.57,23.9,1248.0,13.443,34.513,19.834,17.850,16.340,41.951,0,0,0.0,0.0
1431,7199.0,3532.0,301.0,535.0,1014.0,1024,30.7,2.9,44.3,16.7,23.5,2.51,29.1,2192.0,10.757,27.347,15.900,15.050,12.581,31.984,3,10,3.3,0.3
1432,10430.0,2518.0,270.0,596.0,1057.0,1025,28.3,2.5,40.0,18.7,15.4,2.42,31.8,1256.0,12.567,30.526,18.526,17.150,14.871,36.124,1,2,2.0,0.2
1433,8368.0,3991.0,203.0,578.0,1495.0,1026,28.5,2.5,45.8,15.4,25.8,2.54,24.4,1843.0,12.277,31.186,18.187,17.150,14.635,37.178,5,12,2.4,0.6
1434,8193.0,4308.0,312.0,529.0,1070.0,1027,28.8,2.6,46.5,14.3,26.6,2.47,25.6,997.0,12.153,30.080,17.820,16.450,14.412,35.671,0,0,0.0,0.0
1435,7385.0,3495.0,299.0,552.0,1391.0,1028,30.1,2.7,45.2,17.1,25.9,2.44,27.4,1291.0,11.249,27.411,16.441,15.050,13.121,31.973,1,2,2.0,0.1
1436,8047.0,2409.0,284.0,540.0,616.0,1029,27.3,2.4,41.5,18.4,17.1,2.69,19.6,1937.0,10.251,27.637,15.601,15.050,11.896,32.073,0,0,0.0,0.0
1437,5592.0,2570.0,278.0,547.0,965.0,1030,33.5,3.1,43.2,17.4,20.9,2.52,28.0,1020.0,8.740,22.262,13.039,11.550,9.952,25.349,6,16,2.7,1.3
