,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
384,IES Cid Campeador,4.2,25,39.4655803,-0.3995238,education,0725,secondary_school
385,IES Número 26,3.5,8,39.4644571,-0.4113773,education,0737,secondary_school
386,IES Juan de Garay,3.4,37,39.454792100000006,-0.395717,education,0832,secondary_school
390,IES Campanar,2.9,20,39.4810428,-0.39858150000000003,education,0403,secondary_school
391,FEPORTS - Fundación Instituto Portuario de Estudios y Cooperación de la Comunidad Valenciana,0.0,0,39.4638255,-0.4027952,education,0732,secondary_school
392,IES Patraix - Vicenta Ferrer Escrivà,3.4,38,39.460843,-0.3959149,education,0828,secondary_school
394,IES Conselleria,2.9,52,39.485209000000005,-0.393131,education,0401,secondary_school
396,IES Benlliure,3.9,47,39.483645700000004,-0.36911750000000004,education,0526,secondary_school
398,IES El Clot,3.6,21,39.48935,-0.3795599,education,0533,secondary_school
400,Calle san vicente martir,0.0,0,39.4501594,-0.3923467,education,0920,secondary_school
401,IES Orriols,4.2,29,39.4961636,-0.36685100000000004,education,1533,secondary_school
403,Academia Stec,0.0,0,39.455305100000004,-0.3936801,education,0831,secondary_school
404,IES Joanot Martorell,3.6,23,39.4404695,-0.390366,education,0939,secondary_school
405,IES Jordi de Sant Jordi,4.1,39,39.4528138,-0.3636092,education,1034,secondary_school
406,IES Lluís Vives,4.4,48,39.4684333,-0.377866,education,0133,secondary_school
407,IES Malilla,3.4,25,39.4521217,-0.3796425,education,1049,secondary_school
411,Institut d'Educació Secundària Ies Font de Sant Lluís,2.6,61,39.4543488,-0.36410040000000005,education,1036,secondary_school
413,IES Barri del Carme,3.1,22,39.479613,-0.3817596,education,0112,secondary_school
414,IES RASCANYA ANTONIO CAÑUELO,0.0,0,39.4699075,-0.37628809999999996,education,0128,secondary_school
415,Secció de l'IES Conselleria,5.0,1,39.483238,-0.392621,education,0401,secondary_school
416,Iniciativas Educativas Educa Slu,0.0,0,39.47876,-0.36632,education,0606,secondary_school
418,IES Benicalap,3.7,29,39.4963511,-0.4001912,education,1804,secondary_school
419,IES José Ballester Gozalvo,3.6,20,39.4967105,-0.37984509999999994,education,1528,secondary_school
420,Colegio Diocesano San Roque,4.3,22,39.4908615,-0.39052600000000004,education,1611,secondary_school
421,Centro de Estudios García Broch,3.9,13,39.4632195,-0.367298,education,0206,secondary_school
422,IES Balears,3.7,18,39.4588061,-0.3411885000000001,education,1232,secondary_school
423,Institut d'Educació Secundària Ies Districte Marítim,3.4,24,39.4597136,-0.3441864,education,1242,secondary_school
424,IES El Ravatxol,5.0,2,39.4268112,-0.3614869,education,1905,secondary_school
425,IES Sorolla,3.5,34,39.467336100000004,-0.33833409999999997,education,1301,secondary_school
426,Ies Cabanyal,3.3,48,39.475516600000006,-0.34016199999999996,education,1325,secondary_school
427,Residencia Fortuny Gestion Privada,0.0,0,39.4781137,-0.36306700000000003,education,0605,secondary_school
428,IES Francesc Ferrer i Guàrdia,4.5,17,39.4819796,-0.355015,education,1401,secondary_school
429,Instituto de la Santísima Trinidad,4.5,4,39.4847667,-0.3781512,education,0513,secondary_school
430,IES Rascanya - Antonio Cañuelo,3.7,26,39.494429,-0.3605372,education,1533,secondary_school
431,Repasemos.com,0.0,0,39.4918891,-0.3623602,education,1533,secondary_school
432,Institut d'Educació Secundària Ramón Llull,3.9,21,39.4759614,-0.3462188,education,1325,secondary_school
433,IES Serpis,3.2,58,39.473510600000004,-0.3382437,education,1325,secondary_school
434,Institut d'Educació Secundària Ies El Grau,3.8,26,39.4621676,-0.3318509,education,1106,secondary_school
435,IES Isabel de Villena,3.9,30,39.4786425,-0.325474,education,1138,secondary_school
437,Solar Antiguo Instituto Distrito Marítimo,5.0,1,39.455910700000004,-0.3310302,education,1102,secondary_school
438,Marcos duran,0.0,0,39.4860074,-0.3690259,education,0522,secondary_school
441,IES Benimàmet,3.6,12,39.504101399999996,-0.42395029999999995,education,1807,secondary_school
442,Adolfo Eduardo Beneto García,0.0,0,39.4639146,-0.33094470000000004,education,1111,secondary_school
446,Generalitat Valenciana,0.0,0,39.51722669999999,-0.3791929,education,1703,secondary_school
462,IES el Saler,3.7,13,39.3818225,-0.33172199999999996,education,1908,secondary_school
486,Uni,0.0,0,39.4782313,-0.3822065,education,0112,university
490,European University of Valencia,2.8,94,39.475461200000005,-0.3652167,education,0601,university
491,University of Valencia,3.9,457,39.4790511,-0.3590873,education,0624,university
492,"CENTRO ALZIRA - VALENCIA ""FRANCISCO TOMÁS Y VALIENTE"" DE LA UNED",4.0,79,39.46462959999999,-0.4116374,education,0737,university
493,Universidad Europea De Valencia,4.2,21,39.4822613,-0.375959,education,0510,university
495,Universidad Católica Valencia - Virgen de los Desamparados,5.0,9,39.4687201,-0.38227,education,0315,university
496,Universitat de València - Rectorat,3.9,31,39.4795004,-0.3646096,education,0624,university
497,Universidad Europea de Valencia edificio C,3.8,8,39.4775254,-0.36696209999999996,education,0606,university
501,Facultad De Enfermería Nuestra Señora De Los Desamparados,4.9,8,39.4683095,-0.3818435,education,0315,university
502,Ayuda Universitaria Cum Laude,4.2,66,39.457601200000006,-0.38945640000000004,education,0905,university
503,Escuela Internacional de Protocolo de Valencia,5.0,7,39.461127600000005,-0.3879718,education,0807,university
506,Facultat de Geografia i Història (UV),4.0,73,39.4773336,-0.3617437,education,0605,university
507,UNIVERSITAT POPULAR de la plaça d'Holanda,4.8,6,39.4486518,-0.3879312,education,0928,university
508,Universidad Católica de Valencia San Vicente Mártir,3.4,105,39.470240000000004,-0.3804661,education,0134,university
509,Máster Universitario en Marketing político y comunicación institucional UCV,0.0,0,39.4762345,-0.38376129999999997,education,0117,university
510,Universidad Internacional Menéndez Pelayo,2.8,4,39.4789599,-0.3786218,education,0114,university
513,Trabajo fin de grado TFG,4.1,37,39.449914,-0.37239099999999997,education,1050,university
514,Antiga Facultat de Magisteri,3.0,10,39.4607908,-0.36000329999999997,education,1010,university
515,Universitat de València - Facultat de Magisteri,3.7,47,39.4798011,-0.3467389,education,1325,university
516,Universitat de València,4.2,26,39.47747570000001,-0.34341209999999994,education,1325,university
517,Màster Universitari en Professorat d'Educació Secundària,2.5,19,39.4606967,-0.3602008,education,1010,university
519,Campus universitario de Blasco Ibáñez,4.0,1,39.4785574,-0.3633823,education,0624,university
520,LEINN Valencia - Campus Valencia de Florida Universitaria,4.5,59,39.4836469,-0.3714333,education,0527,university
522,Facultat de Dret - UV,3.6,75,39.4785046,-0.34333559999999996,education,1325,university
523,Universidad Valencia,4.7,3,39.4782081,-0.34148,education,1325,university
524,Facultat d'Economia - UV,3.9,53,39.478236200000005,-0.3414693,education,1325,university
525,Berklee College of Music - Valencia Campus,4.6,44,39.456793499999996,-0.35593020000000003,education,1040,university
528,Facultat de Ciències Socials de la Universitat de València,3.9,47,39.47957890000001,-0.3459831,education,1325,university
529,Valencia Polytechnic University,4.5,889,39.4807985,-0.34062990000000004,education,1325,university
530,Servei d'Esports Campus dels Tarongers,4.8,9,39.4764022,-0.339392,education,1325,university
532,Universitat de València - Campus de Tarongers,3.8,109,39.47802670000001,-0.3435895,education,1325,university
533,UPV - Servei d’Esports,4.3,16,39.4819599,-0.34039790000000003,education,1325,university
534,CIEGS-Centro de Investigación en Economía y Gestión de la Salud,5.0,3,39.481694,-0.337829,education,1325,university
554,Carmen Laundry Quart,4.4,26,39.477416399999996,-0.3828649,lavanderias,0117,laundry
555,Ruzafa Laundry,4.7,11,39.461641,-0.37178130000000004,lavanderias,0226,laundry
557,Colada 30,3.9,20,39.4637344,-0.39825370000000004,lavanderias,0822,laundry
558,Bugadry • Valencia,4.5,33,39.462688799999995,-0.389336,lavanderias,0840,laundry
561,Carmen Laundry Serranos,5.0,1,39.479868599999996,-0.3772439,lavanderias,0111,laundry
562,Autolavado,0.0,0,39.462767799999995,-0.40338579999999996,lavanderias,0837,laundry
