location_raw;Índice de Gini;Distribución de la renta P80/P20
4926801 Villarrín de Campos distrito 01;30,9;2,4
4926801001 Villarrín de Campos sección 01001;30,9;2,4
02081 Villarrobledo;28,3;2,4
0208101 Villarrobledo distrito 01;31;2,7
0208101001 Villarrobledo sección 01001;31,1;2,7
0208101002 Villarrobledo sección 01002;29,9;2,7
0208101003 Villarrobledo sección 01003;31,7;2,6
0208102 Villarrobledo distrito 02;26,8;2,3
0208102001 Villarrobledo sección 02001;26,2;2,2
0208102002 Villarrobledo sección 02002;27,5;2,4
0208102003 Villarrobledo sección 02003;24;2
0208102004 Villarrobledo sección 02004;27,5;2,4
0208103 Villarrobledo distrito 03;27,9;2,3
0208103001 Villarrobledo sección 03001;29,1;2,4
0208103002 Villarrobledo sección 03002;26,7;2,2
0208103003 Villarrobledo sección 03003;25,5;2,1
0208103004 Villarrobledo sección 03004;29,1;2,4
0208104 Villarrobledo distrito 04;27,8;2,4
0208104001 Villarrobledo sección 04001;28;2,3
0208104002 Villarrobledo sección 04002;32,4;2,7
0208104003 Villarrobledo sección 04003;25,6;2,1
0208104004 Villarrobledo sección 04004;25,9;2,2
23101 Villarrodrigo;27,7;2,1
2310101 Villarrodrigo distrito 01;27,7;2,1
2310101001 Villarrodrigo sección 01001;27,7;2,1
26173 Villarroya;.;.
2617301 Villarroya distrito 01;.;.
2617301001 Villarroya sección 01001;.;.
50293 Villarroya de la Sierra;28,9;2,5
5029301 Villarroya de la Sierra distrito 01;28,9;2,5
5029301001 Villarroya de la Sierra sección 01001;28,9;2,5
44262 Villarroya de los Pinares;25,1;2,4
4426201 Villarroya de los Pinares distrito 01;25,1;2,4
4426201001 Villarroya de los Pinares sección 01001;25,1;2,4
50294 Villarroya del Campo;.;.
5029401 Villarroya del Campo distrito 01;.;.
5029401001 Villarroya del Campo sección 01001;.;.
13096 Villarrubia de los Ojos;27,7;2,3
1309601 Villarrubia de los Ojos distrito 01;27,7;2,3
1309601001 Villarrubia de los Ojos sección 01001;28,7;2,2
1309601002 Villarrubia de los Ojos sección 01002;27,5;2,3
1309601003 Villarrubia de los Ojos sección 01003;27,4;2,1
1309601004 Villarrubia de los Ojos sección 01004;25,1;2,1
1309601005 Villarrubia de los Ojos sección 01005;27,2;2,2
1309601006 Villarrubia de los Ojos sección 01006;27,2;2
1309601007 Villarrubia de los Ojos sección 01007;29,2;2,3
45195 Villarrubia de Santiago;25,1;2,1
4519501 Villarrubia de Santiago distrito 01;25;2,1
4519501001 Villarrubia de Santiago sección 01001;25;2,1
4519502 Villarrubia de Santiago distrito 02;25,1;2,1
4519502001 Villarrubia de Santiago sección 02001;25,1;2,1
16270 Villarrubio;25,7;2,2
1627001 Villarrubio distrito 01;25,7;2,2
1627001001 Villarrubio sección 01001;25,7;2,2
16271 Villarta;28,1;2,4
1627101 Villarta distrito 01;28,1;2,4
1627101001 Villarta sección 01001;28,1;2,4
06157 Villarta de los Montes;25,5;2,1
0615701 Villarta de los Montes distrito 01;25,5;2,1
0615701001 Villarta de los Montes sección 01001;25,5;2,1
13097 Villarta de San Juan;28,3;2,3
1309701 Villarta de San Juan distrito 01;28,3;2,3
1309701001 Villarta de San Juan sección 01001;32,4;2,4
1309701002 Villarta de San Juan sección 01002;26,2;2,1
26174 Villarta-Quintana;25,4;2,3
2617401 Villarta-Quintana distrito 01;25,4;2,3
2617401001 Villarta-Quintana sección 01001;25,4;2,3
16272 Villas de la Ventosa;29,5;2,4
1627201 Villas de la Ventosa distrito 01;29,5;2,4
1627201001 Villas de la Ventosa sección 01001;29,5;2,4
24225 Villasabariego;27,3;2,1
2422501 Villasabariego distrito 01;27,3;2,1
2422501001 Villasabariego sección 01001;27,3;2,1
09460 Villasandino;29,3;2,7
0946001 Villasandino distrito 01;29,3;2,7
0946001001 Villasandino sección 01001;29,3;2,7
34233 Villasarracino;24,6;2,1
3423301 Villasarracino distrito 01;24,6;2,1
3423301001 Villasarracino sección 01001;24,6;2,1
42212 Villasayas;.;.
4221201 Villasayas distrito 01;.;.
4221201001 Villasayas sección 01001;.;.
37367 Villasbuenas;26,9;2,1
3736701 Villasbuenas distrito 01;26,9;2,1
3736701001 Villasbuenas sección 01001;26,9;2,1
10215 Villasbuenas de Gata;25;2,2
1021501 Villasbuenas de Gata distrito 01;25;2,2
1021501001 Villasbuenas de Gata sección 01001;25;2,2
37368 Villasdardo;.;.
3736801 Villasdardo distrito 01;.;.
3736801001 Villasdardo sección 01001;.;.
42213 Villaseca de Arciel;.;.
4221301 Villaseca de Arciel distrito 01;.;.
4221301001 Villaseca de Arciel sección 01001;.;.
19322 Villaseca de Henares;.;.
1932201 Villaseca de Henares distrito 01;.;.
1932201001 Villaseca de Henares sección 01001;.;.
45196 Villaseca de la Sagra;29,1;2,6
4519601 Villaseca de la Sagra distrito 01;29,1;2,6
4519601001 Villaseca de la Sagra sección 01001;29,1;2,6
19323 Villaseca de Uceda;.;.
1932301 Villaseca de Uceda distrito 01;.;.
1932301001 Villaseca de Uceda sección 01001;.;.
37369 Villaseco de los Gamitos;34,6;2,5
3736901 Villaseco de los Gamitos distrito 01;34,6;2,5
3736901001 Villaseco de los Gamitos sección 01001;34,6;2,5
37370 Villaseco de los Reyes;27,8;2,6
3737001 Villaseco de los Reyes distrito 01;27,8;2,6
3737001001 Villaseco de los Reyes sección 01001;27,8;2,6
49269 Villaseco del Pan;24;1,9
4926901 Villaseco del Pan distrito 01;24;1,9
4926901001 Villaseco del Pan sección 01001;24;1,9
24226 Villaselán;26,3;2,2
2422601 Villaselán distrito 01;26,3;2,2
2422601001 Villaselán sección 01001;26,3;2,2
45197 Villasequilla;27,1;2,3
4519701 Villasequilla distrito 01;27,1;2,3
4519701001 Villasequilla sección 01001;25,7;2
4519701002 Villasequilla sección 01002;27,9;2,4
47225 Villasexmir;.;.
4722501 Villasexmir distrito 01;.;.
4722501001 Villasexmir sección 01001;.;.
34234 Villasila de Valdavia;.;.
3423401 Villasila de Valdavia distrito 01;.;.
3423401001 Villasila de Valdavia sección 01001;.;.
37371 Villasrubias;24,6;2,2
3737101 Villasrubias distrito 01;24,6;2,2
3737101001 Villasrubias sección 01001;24,6;2,2
44263 Villastar;25,2;2,2
4426301 Villastar distrito 01;25,2;2,2
4426301001 Villastar sección 01001;25,2;2,2
09463 Villasur de Herreros;29,1;2,7
0946301 Villasur de Herreros distrito 01;29,1;2,7
0946301001 Villasur de Herreros sección 01001;29,1;2,7
45198 Villatobas;27,8;2,3
4519801 Villatobas distrito 01;28,4;2,4
4519801001 Villatobas sección 01001;28,4;2,4
4519802 Villatobas distrito 02;27,4;2,3
4519802001 Villatobas sección 02001;27,4;2,3
05263 Villatoro;28,7;2
0526301 Villatoro distrito 01;28,7;2
0526301001 Villatoro sección 01001;28,7;2
23903 Villatorres;27,5;2,2
2390301 Villatorres distrito 01;28,1;2,3
2390301001 Villatorres sección 01001;27,1;2,2
2390301002 Villatorres sección 01002;28,9;2,4
2390302 Villatorres distrito 02;26,5;2,1
2390302001 Villatorres sección 02001;25,8;2,2
2390302002 Villatorres sección 02002;26,9;2,1
02082 Villatoya;36,5;3,5
0208201 Villatoya distrito 01;36,5;3,5
0208201001 Villatoya sección 01001;36,5;3,5
09464 Villatuelda;.;.
0946401 Villatuelda distrito 01;.;.
0946401001 Villatuelda sección 01001;.;.
31257 Villatuerta;;
3125701 Villatuerta distrito 01;;
3125701001 Villatuerta sección 01001;;
34236 Villaturde;29,8;2,6
3423601 Villaturde distrito 01;29,8;2,6
3423601001 Villaturde sección 01001;29,8;2,6
24227 Villaturiel;29,3;2,5
2422701 Villaturiel distrito 01;29,3;2,5
2422701001 Villaturiel sección 01001;29,3;2,5
34237 Villaumbrales;23,4;2,3
3423701 Villaumbrales distrito 01;23,4;2,3
3423701001 Villaumbrales sección 01001;23,4;2,3
31258 Villava/Atarrabia;;
3125801 Villava/Atarrabia distrito 01;;
3125801001 Villava/Atarrabia sección 01001;;
3125802 Villava/Atarrabia distrito 02;;
3125802001 Villava/Atarrabia sección 02001;;
3125802002 Villava/Atarrabia sección 02002;;
3125802003 Villava/Atarrabia sección 02003;;
3125802004 Villava/Atarrabia sección 02004;;
02083 Villavaliente;25,9;2,2
0208301 Villavaliente distrito 01;25,9;2,2
0208301001 Villavaliente sección 01001;25,9;2,2
47226 Villavaquerín;29,7;2,7
4722601 Villavaquerín distrito 01;29,7;2,7
4722601001 Villavaquerín sección 01001;29,7;2,7
26175 Villavelayo;.;.
2617501 Villavelayo distrito 01;.;.
2617501001 Villavelayo sección 01001;.;.
47227 Villavellid;.;.
4722701 Villavellid distrito 01;.;.
4722701001 Villavellid sección 01001;.;.
49270 Villavendimio;33,1;2,6
4927001 Villavendimio distrito 01;33,1;2,6
4927001001 Villavendimio sección 01001;33,1;2,6
02084 Villaverde de Guadalimar;30,7;2,5
0208401 Villaverde de Guadalimar distrito 01;30,7;2,5
0208401001 Villaverde de Guadalimar sección 01001;30,7;2,5
37372 Villaverde de Guareña;29;2,7
3737201 Villaverde de Guareña distrito 01;29;2,7
3737201001 Villaverde de Guareña sección 01001;29;2,7
40228 Villaverde de Íscar;25,9;2,1
4022801 Villaverde de Íscar distrito 01;25,9;2,1
4022801001 Villaverde de Íscar sección 01001;25,9;2,1
47228 Villaverde de Medina;33,7;2,8
4722801 Villaverde de Medina distrito 01;33,7;2,8
4722801001 Villaverde de Medina sección 01001;33,7;2,8
40229 Villaverde de Montejo;.;.
4022901 Villaverde de Montejo distrito 01;.;.
4022901001 Villaverde de Montejo sección 01001;.;.
26176 Villaverde de Rioja;.;.
2617601 Villaverde de Rioja distrito 01;.;.
2617601001 Villaverde de Rioja sección 01001;.;.
09466 Villaverde del Monte;25,3;2,5
0946601 Villaverde del Monte distrito 01;25,3;2,5
0946601001 Villaverde del Monte sección 01001;25,3;2,5
41101 Villaverde del Río;27,2;2,4
4110101 Villaverde del Río distrito 01;27,2;2,4
4110101001 Villaverde del Río sección 01001;28,9;2,5
4110101002 Villaverde del Río sección 01002;25,7;2,3
4110101003 Villaverde del Río sección 01003;25,5;2,2
4110101004 Villaverde del Río sección 01004;28;2,5
4110101005 Villaverde del Río sección 01005;27,3;2,5
16273 Villaverde y Pasaconsol;28,9;2,4
1627301 Villaverde y Pasaconsol distrito 01;28,9;2,4
1627301001 Villaverde y Pasaconsol sección 01001;28,9;2,4
09467 Villaverde-Mogina;.;.
0946701 Villaverde-Mogina distrito 01;.;.
0946701001 Villaverde-Mogina sección 01001;.;.
49272 Villaveza de Valverde;.;.
4927201 Villaveza de Valverde distrito 01;.;.
4927201001 Villaveza de Valverde sección 01001;.;.
49271 Villaveza del Agua;26,2;2,4
4927101 Villaveza del Agua distrito 01;26,2;2,4
4927101001 Villaveza del Agua sección 01001;26,2;2,4
47229 Villavicencio de los Caballeros;28,3;2,4
4722901 Villavicencio de los Caballeros distrito 01;28,3;2,4
4722901001 Villavicencio de los Caballeros sección 01001;28,3;2,4
33076 Villaviciosa;33,1;2,6
3307601 Villaviciosa distrito 01;33,7;2,9
3307601001 Villaviciosa sección 01001;33,2;3,1
3307601002 Villaviciosa sección 01002;36;3,4
3307601003 Villaviciosa sección 01003;30,6;2,7
3307601004 Villaviciosa sección 01004;33,7;2,9
3307601005 Villaviciosa sección 01005;33,1;2,8
3307602 Villaviciosa distrito 02;31,8;2,7
3307602001 Villaviciosa sección 02001;31,8;2,7
3307603 Villaviciosa distrito 03;32,6;2,7
3307603001 Villaviciosa sección 03001;32,6;2,7
3307604 Villaviciosa distrito 04;30,3;2,5
3307604001 Villaviciosa sección 04001;30,3;2,5
3307605 Villaviciosa distrito 05;33,5;2,6
3307605001 Villaviciosa sección 05001;34,6;2,7
3307605002 Villaviciosa sección 05002;33,1;2,5
3307605003 Villaviciosa sección 05003;33,4;2,7
3307606 Villaviciosa distrito 06;32,3;2,6
3307606001 Villaviciosa sección 06001;29,2;2,2
3307606003 Villaviciosa sección 06003;33,4;2,8
14073 Villaviciosa de Córdoba;28,3;2,4
1407301 Villaviciosa de Córdoba distrito 01;27,1;2,3
1407301001 Villaviciosa de Córdoba sección 01001;27,1;2,2
1407301002 Villaviciosa de Córdoba sección 01002;26;2,3
1407302 Villaviciosa de Córdoba distrito 02;29,3;2,5
1407302001 Villaviciosa de Córdoba sección 02001;29,3;2,5
28181 Villaviciosa de Odón;34,9;3
2818101 Villaviciosa de Odón distrito 01;34,9;3
2818101001 Villaviciosa de Odón sección 01001;37,8;3,9
2818101002 Villaviciosa de Odón sección 01002;34,4;3
2818101003 Villaviciosa de Odón sección 01003;37,7;2,9
2818101004 Villaviciosa de Odón sección 01004;33;2,9
2818101005 Villaviciosa de Odón sección 01005;36,1;3,2
2818101006 Villaviciosa de Odón sección 01006;30,3;2,7
2818101007 Villaviciosa de Odón sección 01007;38,4;2,9
2818101008 Villaviciosa de Odón sección 01008;29,4;2,5
2818101009 Villaviciosa de Odón sección 01009;33,2;2,7
2818101010 Villaviciosa de Odón sección 01010;36,6;3,2
2818101011 Villaviciosa de Odón sección 01011;29,4;2,3
2818101012 Villaviciosa de Odón sección 01012;34,6;2,8
2818101013 Villaviciosa de Odón sección 01013;26,9;2,3
2818101014 Villaviciosa de Odón sección 01014;35,8;2,8
2818101015 Villaviciosa de Odón sección 01015;31,2;2,5
2818101016 Villaviciosa de Odón sección 01016;42,3;3
37373 Villavieja de Yeltes;30,9;2,2
3737301 Villavieja de Yeltes distrito 01;30,9;2,2
3737301001 Villavieja de Yeltes sección 01001;30,9;2,2
28182 Villavieja del Lozoya;31,4;3,1
2818201 Villavieja del Lozoya distrito 01;31,4;3,1
2818201001 Villavieja del Lozoya sección 01001;31,4;3,1
34238 Villaviudas;27,4;2,4
3423801 Villaviudas distrito 01;27,4;2,4
3423801001 Villaviudas sección 01001;27,4;2,4
09471 Villayerno Morquillas;30,6;2,3
0947101 Villayerno Morquillas distrito 01;30,6;2,3
0947101001 Villayerno Morquillas sección 01001;30,6;2,3
33077 Villayón;25,2;2,2
3307701 Villayón distrito 01;25,2;2,2
3307701001 Villayón sección 01001;25,2;2,2
24228 Villazala;23,5;2
2422801 Villazala distrito 01;23,5;2
2422801001 Villazala sección 01001;23,5;2
24229 Villazanzo de Valderaduey;27,4;2,3
2422901 Villazanzo de Valderaduey distrito 01;27,4;2,3
2422901001 Villazanzo de Valderaduey sección 01001;27,4;2,3
09472 Villazopeque;.;.
0947201 Villazopeque distrito 01;.;.
0947201001 Villazopeque sección 01001;.;.
09473 Villegas;.;.
0947301 Villegas distrito 01;.;.
0947301001 Villegas sección 01001;.;.
40230 Villeguillo;27,4;2,2
4023001 Villeguillo distrito 01;27,4;2,2
4023001001 Villeguillo sección 01001;27,4;2,2
44264 Villel;28,2;2,7
4426401 Villel distrito 01;28,2;2,7
4426401001 Villel sección 01001;28,2;2,7
19324 Villel de Mesa;29,1;2,5
1932401 Villel de Mesa distrito 01;29,1;2,5
1932401001 Villel de Mesa sección 01001;29,1;2,5
03140 Villena;30,2;2,4
0314001 Villena distrito 01;28,5;2,4
0314001001 Villena sección 01001;29,1;2,5
0314001002 Villena sección 01002;27,6;2,3
0314002 Villena distrito 02;36,8;4,1
0314002001 Villena sección 02001;25,7;2,2
0314002002 Villena sección 02002;44,3;4,8
0314002003 Villena sección 02003;38,9;4,8
0314003 Villena distrito 03;27,8;2,2
0314003001 Villena sección 03001;28,2;2,3
0314003002 Villena sección 03002;30,6;2,3
0314003003 Villena sección 03003;26,3;2,2
0314004 Villena distrito 04;34,1;2,8
0314004001 Villena sección 04001;32,1;2,7
0314004002 Villena sección 04002;35,8;2,8
0314005 Villena distrito 05;27,2;2,2
0314005001 Villena sección 05001;26,7;2,1
0314005002 Villena sección 05002;28,6;2,3
0314005003 Villena sección 05003;27,2;2,2
0314005004 Villena sección 05004;25,2;2
0314005005 Villena sección 05005;25,6;2,1
0314005006 Villena sección 05006;25,8;2,1
0314005007 Villena sección 05007;28,1;2,3
0314006 Villena distrito 06;28,5;2,3
0314006001 Villena sección 06001;26,5;2,2
0314006002 Villena sección 06002;27,6;2
0314006003 Villena sección 06003;28,8;2,5
0314006004 Villena sección 06004;27,3;2,3
0314006005 Villena sección 06005;30,5;2,6
0314007 Villena distrito 07;31,9;2,7
0314007001 Villena sección 07001;31,9;2,7
34240 Villerías de Campos;.;.
3424001 Villerías de Campos distrito 01;.;.
3424001001 Villerías de Campos sección 01001;.;.
34241 Villodre;.;.
3424101 Villodre distrito 01;.;.
3424101001 Villodre sección 01001;.;.
34242 Villodrigo;29,6;2,5
3424201 Villodrigo distrito 01;29,6;2,5
3424201001 Villodrigo sección 01001;29,6;2,5
34243 Villoldo;29,3;2,2
3424301 Villoldo distrito 01;29,3;2,2
3424301001 Villoldo sección 01001;29,3;2,2
16274 Víllora;24,5;2
1627401 Víllora distrito 01;24,5;2
1627401001 Víllora sección 01001;24,5;2
12137 Villores;.;.
1213701 Villores distrito 01;.;.
1213701001 Villores sección 01001;.;.
37374 Villoria;27,3;2,4
3737401 Villoria distrito 01;27,3;2,4
3737401001 Villoria sección 01001;27,3;2,4
09476 Villoruebo;.;.
0947601 Villoruebo distrito 01;.;.
0947601001 Villoruebo sección 01001;.;.
37375 Villoruela;27,3;2,2
3737501 Villoruela distrito 01;27,3;2,2
3737501001 Villoruela sección 01001;27,3;2,2
26177 Villoslada de Cameros;28,3;2,6
2617701 Villoslada de Cameros distrito 01;28,3;2,6
2617701001 Villoslada de Cameros sección 01001;28,3;2,6
34245 Villota del Páramo;25,1;2
3424501 Villota del Páramo distrito 01;25,1;2
3424501001 Villota del Páramo sección 01001;25,1;2
34246 Villovieco;.;.
3424601 Villovieco distrito 01;.;.
3424601001 Villovieco sección 01001;.;.
08304 Vilobí del Penedès;28,9;2,4
0830401 Vilobí del Penedès distrito 01;28,9;2,4
0830401001 Vilobí del Penedès sección 01001;28,9;2,4
17233 Vilobí d'Onyar;26,9;2,3
1723301 Vilobí d'Onyar distrito 01;26,9;2,3
1723301001 Vilobí d'Onyar sección 01001;27,6;2,1
1723301002 Vilobí d'Onyar sección 01002;26,5;2,2
17232 Vilopriu;38,6;2,7
1723201 Vilopriu distrito 01;38,6;2,7
1723201001 Vilopriu sección 01001;38,6;2,7
47194 Viloria;30;2,6
4719401 Viloria distrito 01;30;2,6
4719401001 Viloria sección 01001;30;2,6
09424 Viloria de Rioja;.;.
0942401 Viloria de Rioja distrito 01;.;.
0942401001 Viloria de Rioja sección 01001;.;.
25253 Vilosell, El;30,8;2,5
2525301 Vilosell, El distrito 01;30,8;2,5
2525301001 Vilosell, El sección 01001;30,8;2,5
50282 Vilueña, La;.;.
5028201 Vilueña, La distrito 01;.;.
5028201001 Vilueña, La sección 01001;.;.
37350 Vilvestre;29,8;2,4
3735001 Vilvestre distrito 01;29,8;2,4
3735001001 Vilvestre sección 01001;29,8;2,4
09425 Vilviestre del Pinar;28,1;2,4
0942501 Vilviestre del Pinar distrito 01;28,1;2,4
0942501001 Vilviestre del Pinar sección 01001;28,1;2,4
43176 Vimbodí i Poblet;27,3;2,4
4317601 Vimbodí i Poblet distrito 01;27,3;2,4
4317601001 Vimbodí i Poblet sección 01001;27,3;2,4
15092 Vimianzo;26,3;2,1
1509201 Vimianzo distrito 01;26,3;2,2
1509201001 Vimianzo sección 01001;28,4;2,4
1509201002 Vimianzo sección 01002;25,3;2,2
1509201003 Vimianzo sección 01003;23;2
1509202 Vimianzo distrito 02;25,6;1,9
1509202001 Vimianzo sección 02001;25,6;1,9
1509203 Vimianzo distrito 03;26,7;2,3
1509203001 Vimianzo sección 03001;27,1;2,3
1509203003 Vimianzo sección 03003;26;2,3
44265 Vinaceite;30,1;2,5
4426501 Vinaceite distrito 01;30,1;2,5
4426501001 Vinaceite sección 01001;30,1;2,5
25255 Vinaixa;27,5;2,4
2525501 Vinaixa distrito 01;27,5;2,4
2525501001 Vinaixa sección 01001;27,5;2,4
46260 Vinalesa;27,7;2,4
4626001 Vinalesa distrito 01;27,7;2,4
4626001001 Vinalesa sección 01001;27,2;2,5
4626001002 Vinalesa sección 01002;28,8;2,8
12138 Vinaròs;31,7;2,7
1213801 Vinaròs distrito 01;31,7;2,7
1213801001 Vinaròs sección 01001;29,2;2,3
1213801002 Vinaròs sección 01002;35,9;2,8
1213801003 Vinaròs sección 01003;36;3,4
1213801004 Vinaròs sección 01004;33,7;3
1213801005 Vinaròs sección 01005;32,3;2,9
1213801006 Vinaròs sección 01006;35,1;3,2
1213801007 Vinaròs sección 01007;28,2;2,6
1213801008 Vinaròs sección 01008;31;2,7
1213801009 Vinaròs sección 01009;32;2,7
1213801010 Vinaròs sección 01010;29,8;2,4
1213801011 Vinaròs sección 01011;29;2,6
1213801012 Vinaròs sección 01012;28,2;2,5
1213801013 Vinaròs sección 01013;31,1;2,5
1213801014 Vinaròs sección 01014;30,5;2,7
1213801015 Vinaròs sección 01015;31,9;2,5
1213801016 Vinaròs sección 01016;26,1;2,2
1213801017 Vinaròs sección 01017;30,8;2,6
16275 Vindel;.;.
1627501 Vindel distrito 01;.;.
1627501001 Vindel sección 01001;.;.
43177 Vinebre;37,6;4,2
4317701 Vinebre distrito 01;37,6;4,2
4317701001 Vinebre sección 01001;37,6;4,2
26178 Viniegra de Abajo;.;.
2617801 Viniegra de Abajo distrito 01;.;.
2617801001 Viniegra de Abajo sección 01001;.;.
26179 Viniegra de Arriba;.;.
2617901 Viniegra de Arriba distrito 01;.;.
2617901001 Viniegra de Arriba sección 01001;.;.
42215 Vinuesa;27,2;2,2
4221501 Vinuesa distrito 01;27,2;2,2
4221501001 Vinuesa sección 01001;27,2;2,2
43178 Vinyols i els Arcs;32,7;2,8
4317801 Vinyols i els Arcs distrito 01;32,7;2,8
4317801001 Vinyols i els Arcs sección 01001;32,7;2,8
49273 Viñas;25,3;1,8
4927301 Viñas distrito 01;25,3;1,8
4927301001 Viñas sección 01001;25,3;1,8
05264 Viñegra de Moraña;.;.
0526401 Viñegra de Moraña distrito 01;.;.
0526401001 Viñegra de Moraña sección 01001;.;.
29099 Viñuela;33,8;2,8
2909901 Viñuela distrito 01;33,8;2,8
2909901001 Viñuela sección 01001;33,8;2,8
19325 Viñuelas;.;.
1932501 Viñuelas distrito 01;.;.
1932501001 Viñuelas sección 01001;.;.
44266 Visiedo;24;2,2
4426601 Visiedo distrito 01;24;2,2
4426601001 Visiedo sección 01001;24;2,2
45199 Viso de San Juan, El;30,5;2,7
4519901 Viso de San Juan, El distrito 01;30,5;2,7
4519901001 Viso de San Juan, El sección 01001;29,6;2,7
4519901002 Viso de San Juan, El sección 01002;31,7;2,8
41102 Viso del Alcor, El;27,6;2,2
4110201 Viso del Alcor, El distrito 01;29;2,5
4110201001 Viso del Alcor, El sección 01001;29,2;2,5
4110201002 Viso del Alcor, El sección 01002;29,3;2,5
4110201003 Viso del Alcor, El sección 01003;28,5;2,5
4110201004 Viso del Alcor, El sección 01004;27,1;2,4
4110201005 Viso del Alcor, El sección 01005;29,1;2,5
4110202 Viso del Alcor, El distrito 02;24,6;2
4110202001 Viso del Alcor, El sección 02001;24,6;2
4110203 Viso del Alcor, El distrito 03;26,9;2,1
4110203001 Viso del Alcor, El sección 03001;27;2,2
4110203002 Viso del Alcor, El sección 03002;26,2;2,1
4110203003 Viso del Alcor, El sección 03003;28,1;2,3
4110203004 Viso del Alcor, El sección 03004;24;1,9
4110203005 Viso del Alcor, El sección 03005;27,7;2,2
4110203006 Viso del Alcor, El sección 03006;26,7;2,1
13098 Viso del Marqués;27,7;2,2
1309801 Viso del Marqués distrito 01;26,7;2,1
1309801001 Viso del Marqués sección 01001;28,6;2,1
1309801002 Viso del Marqués sección 01002;24,7;2
1309802 Viso del Marqués distrito 02;30,2;2,5
1309802001 Viso del Marqués sección 02001;30,2;2,5
14074 Viso, El;27,5;2,1
1407401 Viso, El distrito 01;28,1;2,3
1407401001 Viso, El sección 01001;28,1;2,3
1407401002 Viso, El sección 01002;;
1407402 Viso, El distrito 02;25,7;2,1
1407402001 Viso, El sección 02001;24,5;2,3
1407402002 Viso, El sección 02002;26;2,1
50295 Vistabella;.;.
5029501 Vistabella distrito 01;.;.
5029501001 Vistabella sección 01001;.;.
12139 Vistabella del Maestrat;27,6;2,3
1213901 Vistabella del Maestrat distrito 01;27,6;2,3
1213901001 Vistabella del Maestrat sección 01001;27,6;2,3
05265 Vita;.;.
0526501 Vita distrito 01;.;.
0526501001 Vita sección 01001;.;.
37376 Vitigudino;28,8;2,2
3737601 Vitigudino distrito 01;28,8;2,2
3737601001 Vitigudino sección 01001;26,6;2,3
3737601002 Vitigudino sección 01002;31,2;2,6
01059 Vitoria-Gasteiz;;
0105901 Vitoria-Gasteiz distrito 01;;
0105901001 Vitoria-Gasteiz sección 01001;;
0105901003 Vitoria-Gasteiz sección 01003;;
0105901004 Vitoria-Gasteiz sección 01004;;
0105901005 Vitoria-Gasteiz sección 01005;;
0105901007 Vitoria-Gasteiz sección 01007;;
0105901008 Vitoria-Gasteiz sección 01008;;
0105901009 Vitoria-Gasteiz sección 01009;;
0105901010 Vitoria-Gasteiz sección 01010;;
0105901012 Vitoria-Gasteiz sección 01012;;
0105901013 Vitoria-Gasteiz sección 01013;;
0105901014 Vitoria-Gasteiz sección 01014;;
0105901015 Vitoria-Gasteiz sección 01015;;
0105901016 Vitoria-Gasteiz sección 01016;;
0105901017 Vitoria-Gasteiz sección 01017;;
0105901018 Vitoria-Gasteiz sección 01018;;
0105901019 Vitoria-Gasteiz sección 01019;;
0105901020 Vitoria-Gasteiz sección 01020;;
0105901021 Vitoria-Gasteiz sección 01021;;
0105901022 Vitoria-Gasteiz sección 01022;;
0105901023 Vitoria-Gasteiz sección 01023;;
0105901024 Vitoria-Gasteiz sección 01024;;
0105901025 Vitoria-Gasteiz sección 01025;;
0105901026 Vitoria-Gasteiz sección 01026;;
0105901027 Vitoria-Gasteiz sección 01027;;
0105901029 Vitoria-Gasteiz sección 01029;;
0105901030 Vitoria-Gasteiz sección 01030;;
0105901031 Vitoria-Gasteiz sección 01031;;
0105901032 Vitoria-Gasteiz sección 01032;;
0105901033 Vitoria-Gasteiz sección 01033;;
0105901034 Vitoria-Gasteiz sección 01034;;
0105901035 Vitoria-Gasteiz sección 01035;;
0105901036 Vitoria-Gasteiz sección 01036;;
0105901037 Vitoria-Gasteiz sección 01037;;
0105901038 Vitoria-Gasteiz sección 01038;;
0105901039 Vitoria-Gasteiz sección 01039;;
0105902 Vitoria-Gasteiz distrito 02;;
0105902001 Vitoria-Gasteiz sección 02001;;
0105902002 Vitoria-Gasteiz sección 02002;;
0105902003 Vitoria-Gasteiz sección 02003;;
0105902004 Vitoria-Gasteiz sección 02004;;
0105902005 Vitoria-Gasteiz sección 02005;;
0105902006 Vitoria-Gasteiz sección 02006;;
0105902008 Vitoria-Gasteiz sección 02008;;
0105902009 Vitoria-Gasteiz sección 02009;;
0105902010 Vitoria-Gasteiz sección 02010;;
0105902011 Vitoria-Gasteiz sección 02011;;
0105902012 Vitoria-Gasteiz sección 02012;;
0105902013 Vitoria-Gasteiz sección 02013;;
0105902014 Vitoria-Gasteiz sección 02014;;
0105902015 Vitoria-Gasteiz sección 02015;;
0105902016 Vitoria-Gasteiz sección 02016;;
0105902017 Vitoria-Gasteiz sección 02017;;
0105902018 Vitoria-Gasteiz sección 02018;;
0105902019 Vitoria-Gasteiz sección 02019;;
0105902020 Vitoria-Gasteiz sección 02020;;
0105902021 Vitoria-Gasteiz sección 02021;;
0105902022 Vitoria-Gasteiz sección 02022;;
0105902023 Vitoria-Gasteiz sección 02023;;
0105902024 Vitoria-Gasteiz sección 02024;;
0105902025 Vitoria-Gasteiz sección 02025;;
0105902026 Vitoria-Gasteiz sección 02026;;
