location_raw;Índice de Gini;Distribución de la renta P80/P20
0700202002 Alaior sección 02002;27,7;2,2
0700202003 Alaior sección 02003;28,2;2,2
21001 Alájar;39,3;3,9
2100101 Alájar distrito 01;39,3;3,9
2100101001 Alájar sección 01001;39,3;3,9
38003 Alajeró;28,5;2,4
3800301 Alajeró distrito 01;28,5;2,4
3800301001 Alajeró sección 01001;28,5;2,4
29001 Alameda;26,9;2,1
2900101 Alameda distrito 01;26,9;2,1
2900101001 Alameda sección 01001;26,9;2,1
2900101002 Alameda sección 01002;28,9;2,1
2900101003 Alameda sección 01003;24,3;2,2
2900101004 Alameda sección 01004;27,3;2
37005 Alameda de Gardón, La;.;.
3700501 Alameda de Gardón, La distrito 01;.;.
3700501001 Alameda de Gardón, La sección 01001;.;.
45002 Alameda de la Sagra;29,3;2,4
4500201 Alameda de la Sagra distrito 01;29,3;2,4
4500201001 Alameda de la Sagra sección 01001;28,4;2,2
4500201002 Alameda de la Sagra sección 01002;30,2;2,3
28003 Alameda del Valle;31,8;2,9
2800301 Alameda del Valle distrito 01;31,8;2,9
2800301001 Alameda del Valle sección 01001;31,8;2,9
18002 Alamedilla;27,5;2,5
1800201 Alamedilla distrito 01;27,5;2,5
1800201001 Alamedilla sección 01001;27,5;2,5
37006 Alamedilla, La;40,5;3,2
3700601 Alamedilla, La distrito 01;40,5;3,2
3700601001 Alamedilla, La sección 01001;40,5;3,2
13003 Alamillo;25,8;1,8
1300301 Alamillo distrito 01;25,8;1,8
1300301001 Alamillo sección 01001;25,8;1,8
19004 Alaminos;.;.
1900401 Alaminos distrito 01;.;.
1900401001 Alaminos sección 01001;.;.
28004 Álamo, El;32,7;3
2800401 Álamo, El distrito 01;32,7;3
2800401001 Álamo, El sección 01001;33,1;2,9
2800401002 Álamo, El sección 01002;32,8;3,1
2800401003 Álamo, El sección 01003;32,4;2,8
2800401004 Álamo, El sección 01004;31,6;2,8
25004 Alamús, Els;30,2;2,4
2500401 Alamús, Els distrito 01;30,2;2,4
2500401001 Alamús, Els sección 01001;30,2;2,4
06004 Alange;24,8;2,1
0600401 Alange distrito 01;24,8;2,1
0600401001 Alange sección 01001;21,5;2,1
0600401002 Alange sección 01002;27,4;2,1
41002 Alanís;28,3;2,2
