location_raw;Fuente de ingreso: salario;Fuente de ingreso: pensiones;Fuente de ingreso: prestaciones por desempleo;Fuente de ingreso: otras prestaciones;Fuente de ingreso: otros ingresos
1400202 Aguilar de la Frontera distrito 02;4377;2188;806;626;975
1400202001 Aguilar de la Frontera sección 02001;4562;2543;769;634;681
1400202002 Aguilar de la Frontera sección 02002;4471;2570;846;637;1194
1400202003 Aguilar de la Frontera sección 02003;3917;1452;846;552;422
1400202004 Aguilar de la Frontera sección 02004;4669;2434;686;697;1765
1400203 Aguilar de la Frontera distrito 03;5056;1926;823;565;911
1400203001 Aguilar de la Frontera sección 03001;4482;2123;846;543;697
1400203002 Aguilar de la Frontera sección 03002;5550;2300;663;599;1420
1400203003 Aguilar de la Frontera sección 03003;4753;1807;846;606;788
1400203004 Aguilar de la Frontera sección 03004;5171;1251;846;478;420
08002 Aguilar de Segarra;10677;2440;255;671;2838
0800201 Aguilar de Segarra distrito 01;10677;2440;255;671;2838
0800201001 Aguilar de Segarra sección 01001;10677;2440;255;671;2838
44005 Aguilar del Alfambra;;;;;
4400501 Aguilar del Alfambra distrito 01;;;;;
4400501001 Aguilar del Alfambra sección 01001;;;;;
26003 Aguilar del Río Alhama;6676;3722;196;498;2789
2600301 Aguilar del Río Alhama distrito 01;6676;3722;196;498;2789
2600301001 Aguilar del Río Alhama sección 01001;6676;3722;196;498;2789
30003 Águilas;6134;2189;341;545;1172
3000301 Águilas distrito 01;6134;2189;341;545;1172
3000301001 Águilas sección 01001;5046;4039;314;493;1921
3000301002 Águilas sección 01002;5989;3691;276;616;2246
3000301003 Águilas sección 01003;4504;2519;340;696;587
3000301004 Águilas sección 01004;5140;2652;287;559;1212
3000301005 Águilas sección 01005;6153;1439;336;542;569
3000301006 Águilas sección 01006;4786;2303;322;588;1098
3000301007 Águilas sección 01007;5504;3241;369;609;1664
3000301008 Águilas sección 01008;5260;3029;414;617;1820
3000301009 Águilas sección 01009;10064;2825;273;523;2913
3000301010 Águilas sección 01010;4641;2437;431;526;487
3000301011 Águilas sección 01011;6227;1419;325;544;1101
3000301012 Águilas sección 01012;5006;2335;407;755;519
3000301013 Águilas sección 01013;5303;1735;412;529;683
3000301014 Águilas sección 01014;5539;1858;391;516;824
3000301015 Águilas sección 01015;6248;2260;305;533;1735
3000301016 Águilas sección 01016;8175;3111;212;435;2103
3000301017 Águilas sección 01017;3023;1098;429;520;157
3000301018 Águilas sección 01018;5465;1320;356;533;656
3000301019 Águilas sección 01019;8901;1779;248;592;1614
3000301020 Águilas sección 01020;7344;996;382;403;1324
3000301021 Águilas sección 01021;6192;3075;358;514;896
3000301022 Águilas sección 01022;6412;2174;341;572;825
3000301023 Águilas sección 01023;5506;1912;339;509;483
3000301024 Águilas sección 01024;7923;3467;288;550;1286
3000301025 Águilas sección 01025;5190;1960;364;632;708
3000301026 Águilas sección 01026;6095;1439;364;582;734
3000301027 Águilas sección 01027;5226;2506;404;532;676
3000301028 Águilas sección 01028;5108;2021;396;606;328
3000301029 Águilas sección 01029;7517;2057;258;504;1514
3000301030 Águilas sección 01030;8008;2253;323;416;2282
50005 Aguilón;8651;5616;108;554;2317
5000501 Aguilón distrito 01;8651;5616;108;554;2317
5000501001 Aguilón sección 01001;8651;5616;108;554;2317
35002 Agüimes;8055;1712;424;529;1067
3500201 Agüimes distrito 01;8055;1712;424;529;1067
3500201001 Agüimes sección 01001;7082;2186;369;684;818
3500201002 Agüimes sección 01002;7017;2800;411;591;714
3500201003 Agüimes sección 01003;6821;1589;503;517;781
3500201004 Agüimes sección 01004;7643;1673;356;505;1333
3500201005 Agüimes sección 01005;4666;1876;575;604;229
3500201006 Agüimes sección 01006;9473;2649;377;463;1744
3500201007 Agüimes sección 01007;7436;2446;316;713;1025
3500201008 Agüimes sección 01008;7044;2697;389;508;1089
3500201009 Agüimes sección 01009;6962;1510;425;427;871
3500201010 Agüimes sección 01010;10206;1950;357;523;1401
3500201011 Agüimes sección 01011;6206;1705;429;518;949
3500201012 Agüimes sección 01012;9109;1752;381;614;1378
3500201013 Agüimes sección 01013;6536;1273;508;567;509
3500201014 Agüimes sección 01014;7226;3105;435;679;1075
3500201015 Agüimes sección 01015;6262;1284;506;466;870
3500201016 Agüimes sección 01016;8837;1256;474;494;798
3500201017 Agüimes sección 01017;7951;697;479;461;930
3500201018 Agüimes sección 01018;9278;2157;439;583;1475
3500201019 Agüimes sección 01019;10711;516;386;390;1197
3500201020 Agüimes sección 01020;9619;630;359;469;762
3500201021 Agüimes sección 01021;9850;996;360;527;1057
3500201022 Agüimes sección 01022;9764;2198;407;545;2029
3500201023 Agüimes sección 01023;11097;2223;310;537;1920
17001 Agullana;9856;3479;210;210;4181
1700101 Agullana distrito 01;9856;3479;210;210;4181
1700101001 Agullana sección 01001;9856;3479;210;210;4181
46004 Agullent;7398;2417;230;517;1196
4600401 Agullent distrito 01;7398;2417;230;517;1196
4600401001 Agullent sección 01001;7398;2417;230;517;1196
38002 Agulo;5946;3442;424;570;1557
3800201 Agulo distrito 01;5946;3442;424;570;1557
3800201001 Agulo sección 01001;5946;3442;424;570;1557
10006 Ahigal;3019;3354;733;634;1544
1000601 Ahigal distrito 01;3019;3354;733;634;1544
1000601001 Ahigal sección 01001;3019;3354;733;634;1544
37003 Ahigal de los Aceiteros;5088;4489;133;1006;1695
3700301 Ahigal de los Aceiteros distrito 01;5088;4489;133;1006;1695
3700301001 Ahigal de los Aceiteros sección 01001;5088;4489;133;1006;1695
37004 Ahigal de Villarino;;;;;
3700401 Ahigal de Villarino distrito 01;;;;;
3700401001 Ahigal de Villarino sección 01001;;;;;
06003 Ahillones;4058;3373;772;687;1858
0600301 Ahillones distrito 01;4058;3373;772;687;1858
0600301001 Ahillones sección 01001;4058;3373;772;687;1858
20016 Aia;10797,5;;;1187,4;2189,7
2001601 Aia distrito 01;10797,5;;;1187,4;2189,7
2001601001 Aia sección 01001;10556,3;;;1187,4;1714,6
2001601002 Aia sección 01002;11089;;;1187,4;2763,9
31009 Aibar/Oibar;;;;;
3100901 Aibar/Oibar distrito 01;;;;;
3100901001 Aibar/Oibar sección 01001;;;;;
46042 Aielo de Malferit;7086;2154;287;682;1482
4604201 Aielo de Malferit distrito 01;7086;2154;287;682;1482
4604201001 Aielo de Malferit sección 01001;7324;2185;282;658;1179
4604201002 Aielo de Malferit sección 01002;6896;2129;290;701;1723
46043 Aielo de Rugat;11567;3562;294;806;2583
4604301 Aielo de Rugat distrito 01;11567;3562;294;806;2583
4604301001 Aielo de Rugat sección 01001;11567;3562;294;806;2583
08014 Aiguafreda;10101;3724;259;636;2633
0801401 Aiguafreda distrito 01;10101;3724;259;636;2633
0801401001 Aiguafreda sección 01001;10101;3724;259;636;2633
43001 Aiguamúrcia;7389;2989;307;682;2385
4300101 Aiguamúrcia distrito 01;7389;2989;307;682;2385
4300101001 Aiguamúrcia sección 01001;7389;2989;307;682;2385
17002 Aiguaviva;12513;3339;146;465;3609
1700201 Aiguaviva distrito 01;12513;3339;146;465;3609
1700201001 Aiguaviva sección 01001;12513;3339;146;465;3609
03004 Aigües;7746;3251;275;246;1471
0300401 Aigües distrito 01;7746;3251;275;246;1471
0300401001 Aigües sección 01001;7746;3251;275;246;1471
12002 Aín;9796;4710;124;627;1114
1200201 Aín distrito 01;9796;4710;124;627;1114
1200201001 Aín sección 01001;9796;4710;124;627;1114
22907 Aínsa-Sobrarbe;8599;2724;260;532;2269
2290701 Aínsa-Sobrarbe distrito 01;8599;2724;260;532;2269
2290701001 Aínsa-Sobrarbe sección 01001;8599;2724;260;532;2269
50006 Ainzón;8319;3506;261;344;1731
