location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
0800101003 Abrera sección 01003;15.891;48.386;25.496;24.150;19.916;60.639
0800101004 Abrera sección 01004;14.922;40.566;23.218;20.650;18.592;50.541
0800101005 Abrera sección 01005;12.880;35.439;19.649;19.250;15.367;42.282
0800101007 Abrera sección 01007;13.618;37.826;21.176;20.650;16.550;45.970
0800101008 Abrera sección 01008;14.169;39.549;21.833;21.350;17.358;48.450
04002 Abrucena;9.412;19.128;12.919;12.250;10.476;21.291
0400201 Abrucena distrito 01;9.412;19.128;12.919;12.250;10.476;21.291
0400201001 Abrucena sección 01001;9.412;19.128;12.919;12.250;10.476;21.291
37001 Abusejo;10.688;24.622;15.182;13.650;11.928;27.480
3700101 Abusejo distrito 01;10.688;24.622;15.182;13.650;11.928;27.480
3700101001 Abusejo sección 01001;10.688;24.622;15.182;13.650;11.928;27.480
28001 Acebeda, La;.;.;.;.;.;.
2800101 Acebeda, La distrito 01;.;.;.;.;.;.
2800101001 Acebeda, La sección 01001;.;.;.;.;.;.
24001 Acebedo;11.881;24.978;16.056;13.650;13.556;28.499
2400101 Acebedo distrito 01;11.881;24.978;16.056;13.650;13.556;28.499
2400101001 Acebedo sección 01001;11.881;24.978;16.056;13.650;13.556;28.499
10003 Acebo;8.022;15.561;11.063;9.450;8.763;16.998
1000301 Acebo distrito 01;8.022;15.561;11.063;9.450;8.763;16.998
1000301001 Acebo sección 01001;8.022;15.561;11.063;9.450;8.763;16.998
16002 Acebrón, El;9.588;23.970;14.021;12.950;10.811;27.027
1600201 Acebrón, El distrito 01;9.588;23.970;14.021;12.950;10.811;27.027
1600201001 Acebrón, El sección 01001;9.588;23.970;14.021;12.950;10.811;27.027
06001 Acedera;8.079;18.772;11.704;10.850;8.861;20.591
0600101 Acedera distrito 01;8.079;18.772;11.704;10.850;8.861;20.591
0600101001 Acedera sección 01001;8.079;18.772;11.704;10.850;8.861;20.591
10004 Acehúche;8.284;17.936;11.701;10.150;9.127;19.763
1000401 Acehúche distrito 01;8.284;17.936;11.701;10.150;9.127;19.763
1000401001 Acehúche sección 01001;8.284;17.936;11.701;10.150;9.127;19.763
10005 Aceituna;8.204;17.326;11.639;10.850;8.810;18.605
1000501 Aceituna distrito 01;8.204;17.326;11.639;10.850;8.810;18.605
1000501001 Aceituna sección 01001;8.204;17.326;11.639;10.850;8.810;18.605
50002 Acered;9.831;19.663;13.225;12.250;10.918;21.837
