location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
2909501 Villanueva de Algaidas distrito 01;8.427;20.625;12.348;11.550;9.332;22.841
2909501001 Villanueva de Algaidas sección 01001;8.410;19.282;12.091;10.850;9.223;21.144
2909501002 Villanueva de Algaidas sección 01002;8.439;21.775;12.542;11.550;9.415;24.294
09449 Villanueva de Argaño;14.056;40.455;21.374;20.650;16.570;47.690
0944901 Villanueva de Argaño distrito 01;14.056;40.455;21.374;20.650;16.570;47.690
0944901001 Villanueva de Argaño sección 01001;14.056;40.455;21.374;20.650;16.570;47.690
19318 Villanueva de Argecilla;.;.;.;.;.;.
1931801 Villanueva de Argecilla distrito 01;.;.;.;.;.;.
1931801001 Villanueva de Argecilla sección 01001;.;.;.;.;.;.
05905 Villanueva de Ávila;12.180;18.899;14.723;12.250;13.859;21.506
0590501 Villanueva de Ávila distrito 01;12.180;18.899;14.723;12.250;13.859;21.506
0590501001 Villanueva de Ávila sección 01001;12.180;18.899;14.723;12.250;13.859;21.506
49257 Villanueva de Azoague;9.583;21.531;13.436;11.550;10.798;24.261
4925701 Villanueva de Azoague distrito 01;9.583;21.531;13.436;11.550;10.798;24.261
4925701001 Villanueva de Azoague sección 01001;9.583;21.531;13.436;11.550;10.798;24.261
45193 Villanueva de Bogas;9.601;23.784;14.188;12.950;10.860;26.903
4519301 Villanueva de Bogas distrito 01;9.601;23.784;14.188;12.950;10.860;26.903
4519301001 Villanueva de Bogas sección 01001;9.601;23.784;14.188;12.950;10.860;26.903
26169 Villanueva de Cameros;.;.;.;.;.;.
2616901 Villanueva de Cameros distrito 01;.;.;.;.;.;.
2616901001 Villanueva de Cameros sección 01001;.;.;.;.;.;.
49258 Villanueva de Campeán;11.090;21.415;15.277;13.650;12.485;24.110
4925801 Villanueva de Campeán distrito 01;11.090;21.415;15.277;13.650;12.485;24.110
4925801001 Villanueva de Campeán sección 01001;11.090;21.415;15.277;13.650;12.485;24.110
09450 Villanueva de Carazo;.;.;.;.;.;.
0945001 Villanueva de Carazo distrito 01;.;.;.;.;.;.
0945001001 Villanueva de Carazo sección 01001;.;.;.;.;.;.
46257 Villanueva de Castellón;10.246;26.680;15.322;14.350;11.721;30.523
4625701 Villanueva de Castellón distrito 01;10.246;26.680;15.322;14.350;11.721;30.523
4625701001 Villanueva de Castellón sección 01001;9.850;26.877;14.970;13.650;11.294;30.818
4625701002 Villanueva de Castellón sección 01002;11.062;28.472;16.446;15.050;12.806;32.960
4625701003 Villanueva de Castellón sección 01003;10.476;26.774;15.557;14.350;11.909;30.437
4625701004 Villanueva de Castellón sección 01004;9.468;23.854;14.037;12.950;10.659;26.853
14069 Villanueva de Córdoba;8.639;21.034;12.809;11.550;9.786;23.827
1406901 Villanueva de Córdoba distrito 01;8.674;21.484;12.933;11.550;9.808;24.292
1406901001 Villanueva de Córdoba sección 01001;10.267;25.270;15.297;12.950;12.012;29.566
1406901002 Villanueva de Córdoba sección 01002;7.594;20.060;11.578;10.150;8.406;22.205
1406901003 Villanueva de Córdoba sección 01003;8.437;19.979;12.386;11.550;9.405;22.270
1406902 Villanueva de Córdoba distrito 02;8.975;22.272;13.416;11.550;10.323;25.619
1406902001 Villanueva de Córdoba sección 02001;8.826;22.346;13.102;11.550;10.002;25.322
1406902002 Villanueva de Córdoba sección 02002;9.356;22.799;13.584;11.550;10.697;26.068
1406902003 Villanueva de Córdoba sección 02003;8.901;21.426;14.067;12.950;10.732;25.834
1406903 Villanueva de Córdoba distrito 03;8.055;18.774;11.717;10.850;8.952;20.866
1406903001 Villanueva de Córdoba sección 03001;6.961;15.286;9.856;9.450;7.411;16.275
1406903002 Villanueva de Córdoba sección 03002;8.677;20.956;12.783;11.550;9.829;23.738
1406903003 Villanueva de Córdoba sección 03003;;;;;;
1406904 Villanueva de Córdoba distrito 04;8.632;20.730;12.729;11.550;9.691;23.273
1406904001 Villanueva de Córdoba sección 04001;8.419;20.117;12.351;11.550;9.344;22.326
1406904002 Villanueva de Córdoba sección 04002;8.838;21.331;13.094;11.550;10.027;24.201
47218 Villanueva de Duero;10.982;25.748;15.847;14.350;12.672;29.710
4721801 Villanueva de Duero distrito 01;10.982;25.748;15.847;14.350;12.672;29.710
4721801001 Villanueva de Duero sección 01001;10.982;25.748;15.847;14.350;12.672;29.710
50288 Villanueva de Gállego;13.551;37.414;20.975;18.550;16.709;46.134
5028801 Villanueva de Gállego distrito 01;13.551;37.414;20.975;18.550;16.709;46.134
5028801001 Villanueva de Gállego sección 01001;14.512;40.568;22.951;19.600;18.276;51.090
5028801002 Villanueva de Gállego sección 01002;13.276;34.037;19.858;17.150;15.923;40.825
5028801003 Villanueva de Gállego sección 01003;12.516;35.846;19.212;17.850;15.247;43.669
05258 Villanueva de Gómez;11.890;22.195;15.367;13.650;14.082;26.286
0525801 Villanueva de Gómez distrito 01;11.890;22.195;15.367;13.650;14.082;26.286
0525801001 Villanueva de Gómez sección 01001;11.890;22.195;15.367;13.650;14.082;26.286
42206 Villanueva de Gormaz;.;.;.;.;.;.
4220601 Villanueva de Gormaz distrito 01;.;.;.;.;.;.
4220601001 Villanueva de Gormaz sección 01001;.;.;.;.;.;.
16250 Villanueva de Guadamejud;.;.;.;.;.;.
1625001 Villanueva de Guadamejud distrito 01;.;.;.;.;.;.
1625001001 Villanueva de Guadamejud sección 01001;.;.;.;.;.;.
09451 Villanueva de Gumiel;12.463;29.362;18.238;18.900;14.509;34.182
0945101 Villanueva de Gumiel distrito 01;12.463;29.362;18.238;18.900;14.509;34.182
0945101001 Villanueva de Gumiel sección 01001;12.463;29.362;18.238;18.900;14.509;34.182
50290 Villanueva de Huerva;10.856;23.602;15.351;13.650;12.420;27.003
5029001 Villanueva de Huerva distrito 01;10.856;23.602;15.351;13.650;12.420;27.003
5029001001 Villanueva de Huerva sección 01001;10.856;23.602;15.351;13.650;12.420;27.003
50289 Villanueva de Jiloca;.;.;.;.;.;.
5028901 Villanueva de Jiloca distrito 01;.;.;.;.;.;.
5028901001 Villanueva de Jiloca sección 01001;.;.;.;.;.;.
28176 Villanueva de la Cañada;17.023;57.901;28.201;22.750;22.389;76.150
2817601 Villanueva de la Cañada distrito 01;17.023;57.901;28.201;22.750;22.389;76.150
2817601001 Villanueva de la Cañada sección 01001;14.902;51.020;24.391;20.650;18.789;64.327
2817601002 Villanueva de la Cañada sección 01002;31.735;91.933;52.239;36.050;45.627;133.380
2817601003 Villanueva de la Cañada sección 01003;18.717;65.361;31.695;27.650;24.735;86.375
2817601004 Villanueva de la Cañada sección 01004;19.906;66.210;31.909;25.550;26.557;88.331
2817601005 Villanueva de la Cañada sección 01005;15.127;52.846;24.913;21.350;19.325;67.510
2817601006 Villanueva de la Cañada sección 01006;12.235;40.234;19.836;15.750;15.057;49.514
2817601007 Villanueva de la Cañada sección 01007;14.279;47.054;23.932;20.650;18.521;61.034
2817601008 Villanueva de la Cañada sección 01008;16.348;56.974;27.736;24.850;21.441;74.722
29902 Villanueva de la Concepción;8.121;22.241;12.465;11.550;9.092;24.899
2990201 Villanueva de la Concepción distrito 01;8.121;22.241;12.465;11.550;9.092;24.899
2990201001 Villanueva de la Concepción sección 01001;8.443;22.525;12.774;11.550;9.451;25.214
2990201002 Villanueva de la Concepción sección 01002;8.178;24.694;12.985;12.950;9.220;27.839
2990201003 Villanueva de la Concepción sección 01003;7.297;18.299;10.882;10.150;8.068;20.231
47219 Villanueva de la Condesa;.;.;.;.;.;.
4721901 Villanueva de la Condesa distrito 01;.;.;.;.;.;.
4721901001 Villanueva de la Condesa sección 01001;.;.;.;.;.;.
13092 Villanueva de la Fuente;7.928;19.325;11.629;10.150;8.775;21.390
1309201 Villanueva de la Fuente distrito 01;7.928;19.325;11.629;10.150;8.775;21.390
1309201001 Villanueva de la Fuente sección 01001;8.070;18.839;11.657;10.150;8.882;20.735
1309201002 Villanueva de la Fuente sección 01002;8.594;21.531;12.862;10.850;9.646;24.164
1309201003 Villanueva de la Fuente sección 01003;7.039;17.463;10.238;9.450;7.698;19.099
16251 Villanueva de la Jara;8.553;22.894;13.018;11.550;9.553;25.570
1625101 Villanueva de la Jara distrito 01;8.553;22.894;13.018;11.550;9.553;25.570
1625101001 Villanueva de la Jara sección 01001;8.682;22.544;13.084;11.900;9.707;25.206
1625101002 Villanueva de la Jara sección 01002;8.427;23.261;12.952;11.550;9.401;25.952
23096 Villanueva de la Reina;8.687;21.590;12.974;11.550;9.791;24.335
2309601 Villanueva de la Reina distrito 01;8.687;21.590;12.974;11.550;9.791;24.335
2309601001 Villanueva de la Reina sección 01001;8.209;21.200;12.360;11.550;9.074;23.434
2309601002 Villanueva de la Reina sección 01002;9.467;23.791;14.392;12.250;11.122;27.950
2309601003 Villanueva de la Reina sección 01003;8.702;19.933;12.541;10.850;9.630;22.059
06153 Villanueva de la Serena;9.454;24.645;14.255;12.250;10.927;28.486
0615301 Villanueva de la Serena distrito 01;8.549;22.277;12.693;10.850;9.688;25.245
0615301001 Villanueva de la Serena sección 01001;11.662;27.620;16.816;15.050;13.812;32.712
0615301002 Villanueva de la Serena sección 01002;8.861;22.361;13.102;11.550;9.968;25.155
0615301003 Villanueva de la Serena sección 01003;5.959;17.097;9.254;8.750;6.420;18.420
0615301004 Villanueva de la Serena sección 01004;8.837;23.090;13.087;11.550;10.005;26.141
0615302 Villanueva de la Serena distrito 02;9.070;22.944;13.519;12.250;10.343;26.163
0615302001 Villanueva de la Serena sección 02001;9.488;25.230;14.439;12.950;10.922;29.043
0615302002 Villanueva de la Serena sección 02002;11.221;26.824;16.360;14.350;13.301;31.796
0615302003 Villanueva de la Serena sección 02003;8.498;20.713;12.606;11.550;9.407;22.929
0615302004 Villanueva de la Serena sección 02004;7.348;18.516;10.913;10.150;8.063;20.316
0615302005 Villanueva de la Serena sección 02005;9.450;23.875;13.924;11.550;10.880;27.488
0615303 Villanueva de la Serena distrito 03;10.545;28.378;16.186;14.350;12.529;33.715
0615303001 Villanueva de la Serena sección 03001;12.513;30.924;18.646;15.750;15.067;37.238
0615303002 Villanueva de la Serena sección 03002;10.982;26.834;16.091;13.650;12.978;31.712
0615303003 Villanueva de la Serena sección 03003;9.723;26.306;14.962;13.650;11.298;30.567
0615303004 Villanueva de la Serena sección 03004;9.786;28.746;15.281;12.250;11.704;34.380
0615303005 Villanueva de la Serena sección 03005;10.066;29.253;16.306;15.050;12.023;34.940
0615304 Villanueva de la Serena distrito 04;8.592;21.984;12.807;11.550;9.579;24.510
0615304001 Villanueva de la Serena sección 04001;8.255;20.787;12.244;11.550;9.053;22.797
0615304002 Villanueva de la Serena sección 04002;8.708;22.247;13.016;11.550;9.749;24.905
0615304003 Villanueva de la Serena sección 04003;9.371;25.616;14.109;12.250;10.602;28.982
0615304004 Villanueva de la Serena sección 04004;8.018;19.629;11.830;10.850;8.881;21.742
10211 Villanueva de la Sierra;8.937;16.378;11.821;10.850;9.703;17.782
1021101 Villanueva de la Sierra distrito 01;8.937;16.378;11.821;10.850;9.703;17.782
1021101001 Villanueva de la Sierra sección 01001;8.937;16.378;11.821;10.850;9.703;17.782
19319 Villanueva de la Torre;11.675;35.416;18.586;17.850;13.976;42.397
1931901 Villanueva de la Torre distrito 01;11.675;35.416;18.586;17.850;13.976;42.397
1931901001 Villanueva de la Torre sección 01001;11.569;35.400;18.543;17.850;13.753;42.081
1931901002 Villanueva de la Torre sección 01002;11.029;34.178;17.718;16.450;13.216;40.956
1931901003 Villanueva de la Torre sección 01003;11.914;37.552;19.233;17.850;14.394;45.370
1931901004 Villanueva de la Torre sección 01004;11.931;34.190;18.539;17.850;14.188;40.656
10212 Villanueva de la Vera;8.904;19.093;12.662;11.550;9.994;21.430
1021201 Villanueva de la Vera distrito 01;8.683;18.482;12.095;10.850;9.548;20.324
1021201001 Villanueva de la Vera sección 01001;8.683;18.482;12.095;10.850;9.548;20.324
1021202 Villanueva de la Vera distrito 02;9.056;19.517;13.054;12.250;10.300;22.198
1021202001 Villanueva de la Vera sección 02001;9.056;19.517;13.054;12.250;10.300;22.198
21075 Villanueva de las Cruces;9.496;18.790;13.052;11.550;10.594;20.963
2107501 Villanueva de las Cruces distrito 01;9.496;18.790;13.052;11.550;10.594;20.963
2107501001 Villanueva de las Cruces sección 01001;9.496;18.790;13.052;11.550;10.594;20.963
24218 Villanueva de las Manzanas;12.470;25.670;17.312;15.750;14.344;29.529
2421801 Villanueva de las Manzanas distrito 01;12.470;25.670;17.312;15.750;14.344;29.529
2421801001 Villanueva de las Manzanas sección 01001;12.470;25.670;17.312;15.750;14.344;29.529
49259 Villanueva de las Peras;.;.;.;.;.;.
4925901 Villanueva de las Peras distrito 01;.;.;.;.;.;.
4925901001 Villanueva de las Peras sección 01001;.;.;.;.;.;.
18187 Villanueva de las Torres;7.564;15.726;10.269;9.450;8.181;17.010
1818701 Villanueva de las Torres distrito 01;7.564;15.726;10.269;9.450;8.181;17.010
1818701001 Villanueva de las Torres sección 01001;7.564;15.726;10.269;9.450;8.181;17.010
47220 Villanueva de los Caballeros;11.646;26.817;16.706;14.350;13.449;30.969
4722001 Villanueva de los Caballeros distrito 01;11.646;26.817;16.706;14.350;13.449;30.969
4722001001 Villanueva de los Caballeros sección 01001;11.646;26.817;16.706;14.350;13.449;30.969
21076 Villanueva de los Castillejos;9.286;23.157;13.846;12.250;10.578;26.379
2107601 Villanueva de los Castillejos distrito 01;9.241;23.263;13.869;12.950;10.552;26.561
2107601001 Villanueva de los Castillejos sección 01001;9.241;23.263;13.869;12.950;10.552;26.561
2107602 Villanueva de los Castillejos distrito 02;9.347;23.016;13.815;12.250;10.615;26.137
2107602001 Villanueva de los Castillejos sección 02001;9.347;23.016;13.815;12.250;10.615;26.137
47221 Villanueva de los Infantes;13.561;32.360;20.273;18.550;16.228;38.727
4722101 Villanueva de los Infantes distrito 01;13.561;32.360;20.273;18.550;16.228;38.727
4722101001 Villanueva de los Infantes sección 01001;13.561;32.360;20.273;18.550;16.228;38.727
13093 Villanueva de los Infantes;9.050;23.741;13.518;11.550;10.307;27.040
1309301 Villanueva de los Infantes distrito 01;10.060;24.899;14.659;12.950;11.658;28.855
1309301001 Villanueva de los Infantes sección 01001;10.060;24.899;14.659;12.950;11.658;28.855
1309302 Villanueva de los Infantes distrito 02;9.144;24.009;13.767;11.550;10.433;27.394
1309302001 Villanueva de los Infantes sección 02001;9.144;24.009;13.767;11.550;10.433;27.394
1309303 Villanueva de los Infantes distrito 03;8.924;24.477;13.463;11.550;10.142;27.818
1309303001 Villanueva de los Infantes sección 03001;9.564;26.147;14.378;12.950;10.894;29.783
1309303002 Villanueva de los Infantes sección 03002;8.454;23.245;12.793;10.850;9.590;26.368
1309304 Villanueva de los Infantes distrito 04;8.328;20.902;12.342;10.850;9.337;23.433
1309304001 Villanueva de los Infantes sección 04001;8.328;20.902;12.342;10.850;9.337;23.433
33075 Villanueva de Oscos;9.511;21.399;13.838;11.550;10.673;24.014
3307501 Villanueva de Oscos distrito 01;9.511;21.399;13.838;11.550;10.673;24.014
3307501001 Villanueva de Oscos sección 01001;9.511;21.399;13.838;11.550;10.673;24.014
28178 Villanueva de Perales;6.782;19.568;16.966;16.450;13.189;38.052
2817801 Villanueva de Perales distrito 01;6.782;19.568;16.966;16.450;13.189;38.052
2817801001 Villanueva de Perales sección 01001;6.782;19.568;16.966;16.450;13.189;38.052
13094 Villanueva de San Carlos;11.417;24.261;16.029;14.350;13.352;28.373
1309401 Villanueva de San Carlos distrito 01;11.417;24.261;16.029;14.350;13.352;28.373
1309401001 Villanueva de San Carlos sección 01001;11.417;24.261;16.029;14.350;13.352;28.373
41100 Villanueva de San Juan;7.791;17.102;11.002;10.150;8.427;18.500
4110001 Villanueva de San Juan distrito 01;7.791;17.102;11.002;10.150;8.427;18.500
4110001001 Villanueva de San Juan sección 01001;7.791;17.102;11.002;10.150;8.427;18.500
47222 Villanueva de San Mancio;.;.;.;.;.;.
4722201 Villanueva de San Mancio distrito 01;.;.;.;.;.;.
4722201001 Villanueva de San Mancio sección 01001;.;.;.;.;.;.
22251 Villanueva de Sigena;11.558;30.651;17.194;15.750;13.518;35.847
2225101 Villanueva de Sigena distrito 01;11.558;30.651;17.194;15.750;13.518;35.847
2225101001 Villanueva de Sigena sección 01001;11.558;30.651;17.194;15.750;13.518;35.847
29098 Villanueva de Tapia;9.214;21.989;13.349;12.250;10.202;24.345
2909801 Villanueva de Tapia distrito 01;9.214;21.989;13.349;12.250;10.202;24.345
2909801001 Villanueva de Tapia sección 01001;9.214;21.989;13.349;12.250;10.202;24.345
09454 Villanueva de Teba;.;.;.;.;.;.
0945401 Villanueva de Teba distrito 01;.;.;.;.;.;.
0945401001 Villanueva de Teba sección 01001;.;.;.;.;.;.
12133 Villanueva de Viver;.;.;.;.;.;.
1213301 Villanueva de Viver distrito 01;.;.;.;.;.;.
1213301001 Villanueva de Viver sección 01001;.;.;.;.;.;.
05259 Villanueva del Aceral;11.670;28.690;17.192;14.350;13.273;32.628
0525901 Villanueva del Aceral distrito 01;11.670;28.690;17.192;14.350;13.273;32.628
0525901001 Villanueva del Aceral sección 01001;11.670;28.690;17.192;14.350;13.273;32.628
41098 Villanueva del Ariscal;8.375;23.908;13.073;11.550;9.589;27.376
4109801 Villanueva del Ariscal distrito 01;8.375;23.908;13.073;11.550;9.589;27.376
4109801001 Villanueva del Ariscal sección 01001;8.448;24.207;13.145;11.550;9.670;27.709
4109801002 Villanueva del Ariscal sección 01002;8.480;23.627;13.210;11.550;9.666;26.933
4109801003 Villanueva del Ariscal sección 01003;7.672;22.124;11.920;10.850;8.660;24.973
4109801004 Villanueva del Ariscal sección 01004;8.862;25.531;13.954;11.550;10.305;29.688
23097 Villanueva del Arzobispo;7.728;20.944;11.670;10.150;8.645;23.429
2309701 Villanueva del Arzobispo distrito 01;7.616;20.955;11.577;10.150;8.491;23.363
2309701001 Villanueva del Arzobispo sección 01001;6.741;19.503;10.213;9.450;7.463;21.595
2309701002 Villanueva del Arzobispo sección 01002;8.505;20.894;12.343;10.850;9.512;23.368
2309701003 Villanueva del Arzobispo sección 01003;7.896;22.421;12.427;11.550;8.835;25.087
2309702 Villanueva del Arzobispo distrito 02;7.820;20.935;11.745;10.150;8.771;23.482
2309702001 Villanueva del Arzobispo sección 02001;7.834;21.428;11.833;9.450;8.882;24.292
2309702002 Villanueva del Arzobispo sección 02002;8.815;22.472;13.115;11.550;10.032;25.576
2309702003 Villanueva del Arzobispo sección 02003;7.999;21.962;12.071;10.850;9.000;24.711
2309702004 Villanueva del Arzobispo sección 02004;6.657;17.867;10.000;9.450;7.221;19.381
05260 Villanueva del Campillo;12.257;24.760;16.577;12.250;13.920;28.118
0526001 Villanueva del Campillo distrito 01;12.257;24.760;16.577;12.250;13.920;28.118
0526001001 Villanueva del Campillo sección 01001;12.257;24.760;16.577;12.250;13.920;28.118
49260 Villanueva del Campo;9.529;21.868;13.499;11.550;10.698;24.551
4926001 Villanueva del Campo distrito 01;9.529;21.868;13.499;11.550;10.698;24.551
4926001001 Villanueva del Campo sección 01001;9.529;21.868;13.499;11.550;10.698;24.551
37355 Villanueva del Conde;12.588;24.196;16.841;13.650;14.240;27.373
3735501 Villanueva del Conde distrito 01;12.588;24.196;16.841;13.650;14.240;27.373
3735501001 Villanueva del Conde sección 01001;12.588;24.196;16.841;13.650;14.240;27.373
14070 Villanueva del Duque;9.330;21.139;13.408;11.550;10.389;23.539
1407001 Villanueva del Duque distrito 01;9.644;22.338;13.972;11.550;10.853;25.138
1407001001 Villanueva del Duque sección 01001;9.644;22.338;13.972;11.550;10.853;25.138
1407002 Villanueva del Duque distrito 02;9.103;20.306;13.001;11.550;10.054;22.428
1407002001 Villanueva del Duque sección 02001;9.103;20.306;13.001;11.550;10.054;22.428
06154 Villanueva del Fresno;7.503;20.096;11.249;9.450;8.294;22.216
0615401 Villanueva del Fresno distrito 01;7.503;20.096;11.249;9.450;8.294;22.216
0615401001 Villanueva del Fresno sección 01001;9.910;25.415;14.873;12.250;11.423;29.294
0615401002 Villanueva del Fresno sección 01002;6.273;17.955;9.548;8.750;6.827;19.541
0615401003 Villanueva del Fresno sección 01003;7.040;18.451;10.451;9.450;7.596;19.910
28177 Villanueva del Pardillo;14.759;49.318;24.477;21.350;18.756;62.674
2817701 Villanueva del Pardillo distrito 01;14.759;49.318;24.477;21.350;18.756;62.674
2817701001 Villanueva del Pardillo sección 01001;12.851;44.150;21.681;18.550;15.943;54.774
2817701002 Villanueva del Pardillo sección 01002;12.070;39.893;20.109;17.850;14.846;49.068
2817701003 Villanueva del Pardillo sección 01003;13.804;43.168;22.643;19.950;17.209;53.815
2817701004 Villanueva del Pardillo sección 01004;13.662;46.590;22.394;20.650;17.015;58.025
2817701005 Villanueva del Pardillo sección 01005;16.076;56.309;26.937;24.150;20.598;72.148
2817701006 Villanueva del Pardillo sección 01006;14.415;49.209;24.122;21.350;18.286;62.424
2817701007 Villanueva del Pardillo sección 01007;21.522;69.290;35.097;25.550;29.265;94.221
2817701008 Villanueva del Pardillo sección 01008;16.313;56.484;27.021;24.150;20.882;72.304
34227 Villanueva del Rebollar;.;.;.;.;.;.
3422701 Villanueva del Rebollar distrito 01;.;.;.;.;.;.
3422701001 Villanueva del Rebollar sección 01001;.;.;.;.;.;.
44256 Villanueva del Rebollar de la Sierra;.;.;.;.;.;.
4425601 Villanueva del Rebollar de la Sierra distrito 01;.;.;.;.;.;.
4425601001 Villanueva del Rebollar de la Sierra sección 01001;.;.;.;.;.;.
14071 Villanueva del Rey;8.910;19.361;12.598;10.850;10.012;21.754
1407101 Villanueva del Rey distrito 01;8.910;19.361;12.598;10.850;10.012;21.754
1407101001 Villanueva del Rey sección 01001;8.910;19.361;12.598;10.850;10.012;21.754
30042 Villanueva del Río Segura;9.346;23.680;14.061;12.950;10.665;27.022
3004201 Villanueva del Río Segura distrito 01;9.346;23.680;14.061;12.950;10.665;27.022
3004201001 Villanueva del Río Segura sección 01001;8.769;22.529;13.111;12.250;9.827;25.248
3004201002 Villanueva del Río Segura sección 01002;9.744;24.456;14.714;13.650;11.243;28.217
41099 Villanueva del Río y Minas;7.822;19.763;11.500;10.150;8.622;21.785
4109901 Villanueva del Río y Minas distrito 01;7.898;19.553;11.610;10.850;8.686;21.504
4109901001 Villanueva del Río y Minas sección 01001;7.898;19.553;11.610;10.850;8.686;21.504
4109902 Villanueva del Río y Minas distrito 02;7.252;18.717;10.563;9.450;7.881;20.340
4109902001 Villanueva del Río y Minas sección 02001;7.422;18.656;10.713;10.150;8.090;20.336
4109902002 Villanueva del Río y Minas sección 02002;6.984;18.820;10.327;9.450;7.551;20.347
4109903 Villanueva del Río y Minas distrito 03;8.340;21.041;12.372;11.550;9.330;23.540
4109903001 Villanueva del Río y Minas sección 03001;8.340;21.041;12.372;11.550;9.330;23.540
4109903002 Villanueva del Río y Minas sección 03002;;;;;;
29096 Villanueva del Rosario;9.047;21.234;13.279;12.250;10.143;23.806
2909601 Villanueva del Rosario distrito 01;9.047;21.234;13.279;12.250;10.143;23.806
2909601001 Villanueva del Rosario sección 01001;8.753;21.479;13.069;12.250;9.826;24.112
2909601002 Villanueva del Rosario sección 01002;9.389;20.975;13.522;12.250;10.511;23.483
29097 Villanueva del Trabuco;8.289;20.944;12.411;11.550;9.283;23.457
2909701 Villanueva del Trabuco distrito 01;8.289;20.944;12.411;11.550;9.283;23.457
2909701001 Villanueva del Trabuco sección 01001;8.537;21.779;12.758;11.550;9.463;24.142
2909701002 Villanueva del Trabuco sección 01002;8.475;19.889;12.299;11.550;9.302;21.829
2909701003 Villanueva del Trabuco sección 01003;7.448;19.401;11.304;10.850;8.356;21.766
2909701004 Villanueva del Trabuco sección 01004;10.119;22.540;14.423;12.950;11.578;25.788
2909701005 Villanueva del Trabuco sección 01005;7.900;22.282;12.448;11.550;8.944;25.228
18188 Villanueva Mesía;7.918;19.241;11.621;10.850;8.681;21.096
1818801 Villanueva Mesía distrito 01;7.918;19.241;11.621;10.850;8.681;21.096
1818801001 Villanueva Mesía sección 01001;7.782;18.700;11.288;10.150;8.512;20.455
1818801002 Villanueva Mesía sección 01002;8.086;19.928;12.034;10.850;8.890;21.909
34228 Villanuño de Valdavia;.;.;.;.;.;.
3422801 Villanuño de Valdavia distrito 01;.;.;.;.;.;.
3422801001 Villanuño de Valdavia sección 01001;.;.;.;.;.;.
24219 Villaobispo de Otero;11.350;25.432;16.301;15.050;12.883;28.866
2421901 Villaobispo de Otero distrito 01;11.350;25.432;16.301;15.050;12.883;28.866
2421901001 Villaobispo de Otero sección 01001;11.350;25.432;16.301;15.050;12.883;28.866
24902 Villaornate y Castro;11.189;24.357;15.851;13.650;12.474;27.153
2490201 Villaornate y Castro distrito 01;11.189;24.357;15.851;13.650;12.474;27.153
2490201001 Villaornate y Castro sección 01001;11.189;24.357;15.851;13.650;12.474;27.153
02080 Villapalacios;10.411;23.535;14.878;12.250;11.872;26.840
0208001 Villapalacios distrito 01;10.411;23.535;14.878;12.250;11.872;26.840
0208001001 Villapalacios sección 01001;10.411;23.535;14.878;12.250;11.872;26.840
34229 Villaprovedo;.;.;.;.;.;.
3422901 Villaprovedo distrito 01;.;.;.;.;.;.
3422901001 Villaprovedo sección 01001;.;.;.;.;.;.
24221 Villaquejida;10.013;22.920;14.211;12.950;11.243;25.737
2422101 Villaquejida distrito 01;10.013;22.920;14.211;12.950;11.243;25.737
2422101001 Villaquejida sección 01001;10.013;22.920;14.211;12.950;11.243;25.737
24222 Villaquilambre;12.131;30.020;18.187;16.450;14.373;35.566
2422201 Villaquilambre distrito 01;11.490;28.896;17.261;15.750;13.482;33.907
2422201001 Villaquilambre sección 01001;11.199;27.996;16.637;15.050;12.994;32.485
2422201002 Villaquilambre sección 01002;11.227;27.162;16.432;15.050;13.058;31.591
2422201003 Villaquilambre sección 01003;11.739;29.670;17.556;16.450;13.840;34.982
2422201004 Villaquilambre sección 01004;10.097;25.449;14.985;14.350;11.603;29.244
2422201005 Villaquilambre sección 01005;12.240;31.384;18.754;17.850;14.532;37.262
2422201006 Villaquilambre sección 01006;11.938;29.507;17.860;15.750;13.971;34.530
2422201007 Villaquilambre sección 01007;11.897;30.997;18.499;16.450;14.215;37.036
2422202 Villaquilambre distrito 02;12.981;31.454;19.416;17.150;15.552;37.684
2422202001 Villaquilambre sección 02001;15.524;42.140;23.995;19.950;19.254;52.264
2422202002 Villaquilambre sección 02002;12.892;31.450;19.187;17.850;15.402;37.573
2422202003 Villaquilambre sección 02003;11.731;27.175;17.137;15.750;13.735;31.819
2422202004 Villaquilambre sección 02004;11.615;26.067;17.067;16.450;13.585;30.491
09455 Villaquirán de la Puebla;.;.;.;.;.;.
0945501 Villaquirán de la Puebla distrito 01;.;.;.;.;.;.
0945501001 Villaquirán de la Puebla sección 01001;.;.;.;.;.;.
09456 Villaquirán de los Infantes;13.943;33.862;20.462;17.850;16.743;40.662
0945601 Villaquirán de los Infantes distrito 01;13.943;33.862;20.462;17.850;16.743;40.662
0945601001 Villaquirán de los Infantes sección 01001;13.943;33.862;20.462;17.850;16.743;40.662
37356 Villar de Argañán;.;.;.;.;.;.
3735601 Villar de Argañán distrito 01;.;.;.;.;.;.
3735601001 Villar de Argañán sección 01001;.;.;.;.;.;.
26170 Villar de Arnedo, El;10.616;25.566;15.471;14.350;12.142;29.241
2617001 Villar de Arnedo, El distrito 01;10.616;25.566;15.471;14.350;12.142;29.241
2617001001 Villar de Arnedo, El sección 01001;10.616;25.566;15.471;14.350;12.142;29.241
16253 Villar de Cañas;9.292;19.051;12.948;12.250;10.449;21.424
1625301 Villar de Cañas distrito 01;9.292;19.051;12.948;12.250;10.449;21.424
