location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
10004 Acehúche;46,7;14,1;24,3;2,16;36,4;801
1000401 Acehúche distrito 01;46,7;14,1;24,3;2,16;36,4;801
1000401001 Acehúche sección 01001;46,7;14,1;24,3;2,16;36,4;801
10005 Aceituna;47,9;12,4;28,2;2,11;35,7;604
1000501 Aceituna distrito 01;47,9;12,4;28,2;2,11;35,7;604
1000501001 Aceituna sección 01001;47,9;12,4;28,2;2,11;35,7;604
50002 Acered;55,9;4,8;40,9;1,95;47,6;168
5000201 Acered distrito 01;55,9;4,8;41,6;1,95;47,7;168
5000201001 Acered sección 01001;55,9;4,8;43,2;1,95;47,7;168
06002 Aceuchal;42,1;17,4;19,1;2,64;22,2;5.437
0600201 Aceuchal distrito 01;41,4;18,3;18,7;2,63;22,6;3.557
0600201001 Aceuchal sección 01001;39,4;20,7;15,9;2,72;23,4;1.268
0600201002 Aceuchal sección 01002;42,2;18,5;19,8;2,6;21,8;992
0600201003 Aceuchal sección 01003;42,8;15,7;20,6;2,57;22,4;1.297
0600202 Aceuchal distrito 02;43,3;15,9;19,8;2,66;21,5;1.880
0600202001 Aceuchal sección 02001;43,3;15,9;19,8;2,66;21,5;1.880
22003 Adahuesca;43,8;19,2;24,3;2,68;27,3;177
2200301 Adahuesca distrito 01;43,8;19,2;24,3;2,68;27,3;177
2200301001 Adahuesca sección 01001;43,8;19,2;24,3;2,68;27,3;177
47001 Adalia;.;.;.;.;.;.
4700101 Adalia distrito 01;.;.;.;.;.;.
4700101001 Adalia sección 01001;.;.;.;.;.;.
14001 Adamuz;44,1;16,1;21,2;2,52;26,7;4.183
1400101 Adamuz distrito 01;44,1;16,1;21,2;2,52;26,7;4.183
1400101001 Adamuz sección 01001;42,7;17;17;2,69;20,6;1.684
1400101002 Adamuz sección 01002;45,2;15,5;22,8;2,59;23,5;1.013
1400101003 Adamuz sección 01003;44,9;15,6;24,7;2,31;34,6;1.486
05001 Adanero;53,8;5,6;35,7;2,09;41,5;196
0500101 Adanero distrito 01;53,8;5,6;35,7;2,09;41,5;196
0500101001 Adanero sección 01001;53,8;5,6;35,7;2,09;41,5;196
38001 Adeje;38,5;17,3;10,2;2,61;30,3;47.203
3800101 Adeje distrito 01;38,5;17,3;10,2;2,61;30,3;47.203
3800101001 Adeje sección 01001;39,8;16;12,3;2,64;30,8;1.680
3800101002 Adeje sección 01002;35,7;20,9;6,5;3,1;21,4;2.711
3800101003 Adeje sección 01003;38,2;17,7;10;2,8;25;2.770
3800101004 Adeje sección 01004;39,5;17,4;13;2,8;27,2;2.164
3800101005 Adeje sección 01005;41,8;17,5;16,9;2,92;23;2.362
3800101006 Adeje sección 01006;37,8;18,8;9,4;3,07;20,2;2.839
3800101007 Adeje sección 01007;40,1;11,8;12,2;2,21;42,6;3.952
3800101008 Adeje sección 01008;41;17,1;15;2,32;33;2.835
3800101009 Adeje sección 01009;36,4;23,3;7,7;2,84;22,9;2.752
3800101010 Adeje sección 01010;37,8;20,5;7,7;3,42;10,5;1.407
3800101011 Adeje sección 01011;38,4;11;8,4;2,19;41,2;3.895
3800101012 Adeje sección 01012;39,3;17,9;10,8;2,82;25,3;1.955
3800101013 Adeje sección 01013;36,7;19,9;8,1;2,59;32,2;3.676
3800101014 Adeje sección 01014;39,3;15,1;11,2;2,62;31;1.411
