location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
1019101 Torremenga distrito 01;46,4;12,5;21,5;2,12;40,1;601
1019101001 Torremenga sección 01001;46,4;12,5;21,5;2,12;40,1;601
10192 Torremocha;55,9;6,7;39,6;2,06;38,9;795
1019201 Torremocha distrito 01;55,9;6,7;39,6;2,06;38,9;795
1019201001 Torremocha sección 01001;55,9;6,7;39,6;2,06;38,9;795
19281 Torremocha de Jadraque;.;.;.;.;.;.
1928101 Torremocha de Jadraque distrito 01;.;.;.;.;.;.
1928101001 Torremocha de Jadraque sección 01001;.;.;.;.;.;.
28153 Torremocha de Jarama;44,6;16,1;21,1;2,33;35,3;853
2815301 Torremocha de Jarama distrito 01;44,6;16,1;21,1;2,33;35,3;853
2815301001 Torremocha de Jarama sección 01001;44,6;16,1;21,1;2,33;35,3;853
44228 Torremocha de Jiloca;55,8;7,3;39,5;2,14;47,6;128
4422801 Torremocha de Jiloca distrito 01;55,8;7,3;39,5;2,14;48,2;128
4422801001 Torremocha de Jiloca sección 01001;55,8;7,3;39,5;2,14;49;128
19282 Torremocha del Campo;56,4;7,2;39,5;1,88;47,6;167
1928201 Torremocha del Campo distrito 01;56,4;7,2;39,5;1,88;48,2;167
1928201001 Torremocha del Campo sección 01001;56,4;7,2;39,5;1,88;49,4;167
19283 Torremocha del Pinar;.;.;.;.;.;.
1928301 Torremocha del Pinar distrito 01;.;.;.;.;.;.
1928301001 Torremocha del Pinar sección 01001;.;.;.;.;.;.
19284 Torremochuela;.;.;.;.;.;.
1928401 Torremochuela distrito 01;.;.;.;.;.;.
1928401001 Torremochuela sección 01001;.;.;.;.;.;.
29901 Torremolinos;42;17,9;17,4;2,36;35,9;68.407
2990101 Torremolinos distrito 01;42;17,9;17,4;2,36;35,9;68.407
2990101001 Torremolinos sección 01001;45,2;16,1;23,6;2,21;41,2;1.204
2990101002 Torremolinos sección 01002;42,5;16;17,3;2,38;35,6;1.372
2990101003 Torremolinos sección 01003;42,3;15,1;16,5;2,53;30,5;2.010
2990101004 Torremolinos sección 01004;41,7;17,3;17,1;2,65;28;1.488
2990101005 Torremolinos sección 01005;41,2;18,2;16,2;2,64;29,3;1.171
2990101006 Torremolinos sección 01006;42,1;15,2;16,6;2,47;28;1.340
2990101007 Torremolinos sección 01007;48,7;11,2;28,1;1,9;49,9;1.697
2990101008 Torremolinos sección 01008;52,1;9,6;35,4;1,8;50,7;1.998
2990101009 Torremolinos sección 01009;41,2;16,8;15,7;2,65;27,3;1.728
2990101010 Torremolinos sección 01010;44,9;12,4;20,1;2,21;39,9;1.738
2990101011 Torremolinos sección 01011;40,1;21,1;14,2;2,79;20;1.794
2990101012 Torremolinos sección 01012;43,6;16,3;19,8;2,61;28,5;1.311
2990101013 Torremolinos sección 01013;46;13,2;23,8;2,14;43,1;1.138
2990101014 Torremolinos sección 01014;44,8;15,2;22,2;2,45;30,7;1.895
2990101015 Torremolinos sección 01015;41,3;15,9;14,4;2,41;34,8;1.462
2990101016 Torremolinos sección 01016;51,1;8,4;30;1,83;50,7;1.504
2990101017 Torremolinos sección 01017;45,6;12;22,6;2,1;45;1.815
2990101018 Torremolinos sección 01018;41,4;17,9;16,8;2,42;33,7;2.064
2990101019 Torremolinos sección 01019;44;15,2;19,6;2,47;29,9;1.872
2990101020 Torremolinos sección 01020;43,6;14,8;18,3;2,19;42,7;1.888
2990101021 Torremolinos sección 01021;46,9;15,1;28,1;2,11;43,5;940
2990101022 Torremolinos sección 01022;49,7;12,5;32;1,91;49;1.530
2990101023 Torremolinos sección 01023;43,9;13,4;15,9;1,89;49,3;1.258
2990101024 Torremolinos sección 01024;38,6;24,1;11,5;3,01;19,3;1.741
2990101025 Torremolinos sección 01025;45,7;12,5;21,3;2,05;45,9;1.340
2990101026 Torremolinos sección 01026;44,2;15,1;18,6;2,28;35;1.533
2990101027 Torremolinos sección 01027;44,4;12,6;20,6;2,12;43,9;1.771
2990101028 Torremolinos sección 01028;42,6;17,1;18,5;2,36;34,4;1.295
2990101029 Torremolinos sección 01029;43;15,2;18,8;2,12;44,1;1.492
2990101030 Torremolinos sección 01030;38,8;20,8;13;2,67;25,4;2.154
2990101031 Torremolinos sección 01031;38;22,4;10,2;2,8;23,1;1.723
2990101032 Torremolinos sección 01032;44,7;11,8;19,7;2;47,8;1.614
2990101033 Torremolinos sección 01033;42,7;15,9;18,8;2,58;35,7;1.136
2990101034 Torremolinos sección 01034;33,5;28,8;6,1;2,83;22,1;2.465
2990101035 Torremolinos sección 01035;46,4;15,1;23,9;2,06;43,5;1.363
2990101036 Torremolinos sección 01036;42,6;17,7;16,6;2,26;38,9;1.419
2990101037 Torremolinos sección 01037;30,9;32,3;4,8;2,88;21,8;1.771
2990101038 Torremolinos sección 01038;40,4;22,3;15,5;2,42;35,3;1.427
2990101039 Torremolinos sección 01039;32,1;31,5;4,3;2,97;19,6;2.305
2990101040 Torremolinos sección 01040;41,4;18,5;15,1;2,51;29,8;1.001
2990101041 Torremolinos sección 01041;39,2;22,4;12,8;2,43;32,5;1.470
2990101042 Torremolinos sección 01042;34,8;25,3;8,1;2,52;29,4;1.421
2990101043 Torremolinos sección 01043;31,5;34;3,9;3,05;20,4;1.749
26154 Torremontalbo;.;.;.;.;.;.
2615401 Torremontalbo distrito 01;.;.;.;.;.;.
2615401001 Torremontalbo sección 01001;.;.;.;.;.;.
34184 Torremormojón;.;.;.;.;.;.
3418401 Torremormojón distrito 01;.;.;.;.;.;.
3418401001 Torremormojón sección 01001;.;.;.;.;.;.
46244 Torrent;39,9;20,6;15,2;2,72;22,6;81.055
4624401 Torrent distrito 01;39,3;21,6;15,5;2,76;23,9;18.655
4624401001 Torrent sección 01001;42,6;19,2;21,1;2,61;27,8;1.330
4624401002 Torrent sección 01002;45,8;15,5;26,9;2,5;27,8;756
4624401003 Torrent sección 01003;40,6;19,9;17,4;2,76;22,5;2.101
4624401004 Torrent sección 01004;43;18,6;20,7;2,7;27,1;789
4624401005 Torrent sección 01005;41,9;18,4;18;2,68;24,2;1.044
4624401006 Torrent sección 01006;44,2;14,8;23,9;2,54;26,2;990
4624401007 Torrent sección 01007;41,1;18;17,9;2,74;23,6;1.301
4624401008 Torrent sección 01008;34,8;27,6;11,7;3,16;22;2.160
4624401010 Torrent sección 01010;39;21;13,9;2,75;25,1;2.128
4624401011 Torrent sección 01011;40,8;20;15;2,69;22,6;2.213
4624401012 Torrent sección 01012;36,8;24,7;12,6;2,74;26,4;1.856
4624401013 Torrent sección 01013;32,6;29,2;5,1;2,87;17,9;1.987
4624402 Torrent distrito 02;40,1;20,2;15,8;2,6;26,3;9.405
4624402001 Torrent sección 02001;36,3;24,9;9,7;2,67;23,5;2.454
4624402002 Torrent sección 02002;43,1;17,2;20,7;2,52;28,8;1.588
4624402004 Torrent sección 02004;44,6;15,6;22,6;2,6;23,8;1.199
4624402005 Torrent sección 02005;42,4;18,3;20,9;2,6;27;1.101
4624402006 Torrent sección 02006;39,1;20,4;12,5;2,37;32,9;1.456
4624402007 Torrent sección 02007;38,9;20,5;14,6;2,79;22,7;1.607
4624403 Torrent distrito 03;40,5;19,6;15,9;2,68;22,3;38.438
4624403001 Torrent sección 03001;44,2;17,6;22,3;2,57;26,5;1.708
4624403002 Torrent sección 03002;42,7;17,7;19,7;2,64;24,6;1.636
4624403003 Torrent sección 03003;43,9;16,3;22,4;2,69;24,5;1.154
4624403004 Torrent sección 03004;43,3;17,1;22,1;2,62;26,1;1.658
4624403005 Torrent sección 03005;42,9;16,9;20,9;2,66;24,2;1.810
4624403006 Torrent sección 03006;43,9;16,6;23,3;2,6;23;838
4624403007 Torrent sección 03007;39,9;20,9;14,8;2,75;18,5;1.702
4624403008 Torrent sección 03008;46,5;12,3;25,3;2,52;20,6;1.614
4624403009 Torrent sección 03009;46,3;13,8;24,5;2,58;22,9;1.262
4624403010 Torrent sección 03010;47,2;13;24,6;2,5;27,2;1.132
4624403011 Torrent sección 03011;42,4;15,3;18,4;2,68;22,6;1.306
4624403012 Torrent sección 03012;41,1;19;15,5;2,75;19;1.117
4624403013 Torrent sección 03013;35,3;26,9;8;2,98;15,8;2.061
4624403014 Torrent sección 03014;38,5;21,8;12,1;2,85;17,4;1.555
4624403015 Torrent sección 03015;43,4;15,9;22,5;2,47;25,9;1.096
4624403016 Torrent sección 03016;42,2;19,6;19;2,66;24;1.907
4624403017 Torrent sección 03017;45;13,6;21,1;2,54;21,3;1.013
4624403018 Torrent sección 03018;36,6;27;8,9;2,95;16,3;1.644
4624403019 Torrent sección 03019;38,4;23,5;12;2,83;17,5;2.248
4624403020 Torrent sección 03020;40,9;16,8;13,4;2,84;17,6;1.483
4624403021 Torrent sección 03021;40,8;18,1;13,9;2,8;18,2;1.699
4624403023 Torrent sección 03023;39,2;20,2;11,4;2,83;17,3;1.144
4624403024 Torrent sección 03024;39,2;22,7;13;3,05;12,3;965
4624403025 Torrent sección 03025;30,8;26,7;3,6;2,33;34,5;1.993
4624403026 Torrent sección 03026;38,6;20,7;13,1;2,9;14,8;1.238
4624403027 Torrent sección 03027;29,7;27,4;2,7;2,37;35,5;1.455
4624404 Torrent distrito 04;39,1;22,2;12,5;2,9;19;14.557
4624404001 Torrent sección 04001;38,7;23,2;13,5;3,07;17,1;1.384
4624404002 Torrent sección 04002;39,5;20;10,8;2,43;32,4;2.064
4624404003 Torrent sección 04003;40,3;20,2;13,9;3,1;13,8;1.686
4624404004 Torrent sección 04004;33,4;31,3;5,1;3;13,9;1.615
4624404005 Torrent sección 04005;38,2;23,2;12,5;3,15;15;1.827
4624404006 Torrent sección 04006;38,4;23,3;11,9;2,97;17,3;1.114
4624404007 Torrent sección 04007;43;18,7;20,6;3,04;14,1;819
4624404008 Torrent sección 04008;41,3;17,1;13,1;3,18;11,4;948
4624404009 Torrent sección 04009;41,1;19,1;14,9;2,64;24,3;1.824
4624404010 Torrent sección 04010;39,8;23,4;13,4;3;13,5;1.276
17197 Torrent;44,9;14,9;22,9;2,65;24,2;175
1719701 Torrent distrito 01;44,9;14,9;22,9;2,65;24,2;175
1719701001 Torrent sección 01001;44,9;14,9;22,9;2,65;24,2;175
22234 Torrente de Cinca;48;12;26,1;2,52;32,6;1.027
2223401 Torrente de Cinca distrito 01;48;12;26,1;2,52;32,6;1.027
2223401001 Torrente de Cinca sección 01001;48;12;26,1;2,52;32,6;1.027
13085 Torrenueva;44,7;15,2;23,5;2,53;29,6;2.704
1308501 Torrenueva distrito 01;44,7;15,2;23,5;2,53;29,6;2.704
1308501001 Torrenueva sección 01001;40,5;19,1;16,5;2,77;22,6;910
1308501002 Torrenueva sección 01002;45,1;17,4;25,7;2,52;32,7;708
1308501004 Torrenueva sección 01004;48;10,6;27,9;2,36;32,8;1.086
18916 Torrenueva Costa;41,4;18;16,9;2,4;36,5;2.674
1891601 Torrenueva Costa distrito 01;41,4;18;16,9;2,4;36,5;2.674
1891601001 Torrenueva Costa sección 01001;41,4;18;16,9;2,4;36,5;2.674
10193 Torreorgaz;43;15,7;18;2,65;26,8;1.674
1019301 Torreorgaz distrito 01;43;15,7;18;2,65;26,8;1.674
1019301001 Torreorgaz sección 01001;43;15,7;18;2,65;26,8;1.674
30037 Torre-Pacheco;36,7;24,8;11,6;3,05;20,3;35.170
3003701 Torre-Pacheco distrito 01;36,4;24,8;10,6;3,08;19,6;20.595
3003701001 Torre-Pacheco sección 01001;37,4;23,1;11,3;3,01;17,7;2.155
3003701002 Torre-Pacheco sección 01002;35,5;26,6;9,9;3,24;17,8;2.004
3003701003 Torre-Pacheco sección 01003;33,3;28,4;6,7;3,38;11,8;1.429
3003701004 Torre-Pacheco sección 01004;39,1;21,4;13,3;2,89;22,2;1.392
3003701005 Torre-Pacheco sección 01005;38,6;22,3;14;2,71;29,8;2.371
3003701006 Torre-Pacheco sección 01006;42,7;18,1;21,6;3,05;18,3;1.085
3003701007 Torre-Pacheco sección 01007;35;25,5;9,4;3,16;20,9;2.377
3003701008 Torre-Pacheco sección 01008;34,7;27,5;9,5;2,96;22,6;2.370
3003701009 Torre-Pacheco sección 01009;37;24,8;10,5;3,14;17;1.312
3003701010 Torre-Pacheco sección 01010;35,1;26;7,5;3,09;16,5;1.105
3003701011 Torre-Pacheco sección 01011;35,7;24,5;9;3,44;14,5;1.769
3003701012 Torre-Pacheco sección 01012;34,4;28,8;5,9;3,19;12,2;1.226
3003702 Torre-Pacheco distrito 02;37,1;24,8;13;3;21,3;14.575
3003702001 Torre-Pacheco sección 02001;37,4;25,1;13,5;3,13;20,6;1.643
3003702002 Torre-Pacheco sección 02002;33,3;30,4;8,3;3,44;14,1;1.329
3003702003 Torre-Pacheco sección 02003;39,2;21,2;14,5;2,63;25,7;2.134
3003702004 Torre-Pacheco sección 02004;37,6;24,4;13,6;3,05;20,1;2.270
3003702005 Torre-Pacheco sección 02005;36,1;24,4;12,6;2,89;24,9;1.217
3003702006 Torre-Pacheco sección 02006;34,4;28;9,7;3,27;18,4;1.623
3003702007 Torre-Pacheco sección 02007;39,6;21,7;16,5;2,72;24,8;1.197
3003702008 Torre-Pacheco sección 02008;36;26,6;11,4;3;20,3;1.552
3003702009 Torre-Pacheco sección 02009;38,8;22,7;15,9;3,06;19,4;1.610
09389 Torrepadre;.;.;.;.;.;.
0938901 Torrepadre distrito 01;.;.;.;.;.;.
0938901001 Torrepadre sección 01001;.;.;.;.;.;.
23088 Torreperogil;43,3;16,8;20;2,51;26,3;7.152
2308801 Torreperogil distrito 01;45,6;13,9;22,2;2,42;26;1.757
2308801001 Torreperogil sección 01001;46,4;13,9;25,8;2,33;30,8;861
2308801002 Torreperogil sección 01002;44,9;14;18,8;2,52;21,1;896
2308802 Torreperogil distrito 02;46,7;14,5;27;2,31;34;1.362
2308802001 Torreperogil sección 02001;47,9;13,8;28,5;2,38;30,8;733
2308802002 Torreperogil sección 02002;45,3;15,3;25,1;2,24;37,4;629
2308803 Torreperogil distrito 03;41,2;18,8;16,6;2,63;23,5;4.033
2308803001 Torreperogil sección 03001;42,9;19;20,3;2,63;22,2;1.114
2308803002 Torreperogil sección 03002;40,8;17,6;14,9;2,62;27,5;1.284
2308803003 Torreperogil sección 03003;40,3;19,5;15,5;2,65;21,2;1.635
10194 Torrequemada;53,3;9,7;38,2;2,13;35,1;565
1019401 Torrequemada distrito 01;53,3;9,7;38,2;2,13;35,1;565
1019401001 Torrequemada sección 01001;53,3;9,7;38,2;2,13;35,1;565
23090 Torres;48,3;11,8;27,3;2,31;36,2;1.417
2309001 Torres distrito 01;50,7;8,4;31;2,15;39,1;678
2309001001 Torres sección 01001;50,7;8,4;31;2,15;39,1;678
2309002 Torres distrito 02;46,1;14,9;24;2,47;33,1;739
2309002001 Torres sección 02001;46,1;14,9;24;2,47;33,1;739
23091 Torres de Albánchez;45,3;13,1;21;2,05;41,5;787
2309101 Torres de Albánchez distrito 01;45,3;13,1;21;2,05;41,5;787
2309101001 Torres de Albánchez sección 01001;45,3;13,1;21;2,05;41,5;787
44229 Torres de Albarracín;49,2;13,3;31,1;2,34;39;180
4422901 Torres de Albarracín distrito 01;49,2;13,3;31,1;2,34;39;180
4422901001 Torres de Albarracín sección 01001;49,2;13,3;31,1;2,34;39;180
22235 Torres de Alcanadre;.;.;.;.;.;.
2223501 Torres de Alcanadre distrito 01;.;.;.;.;.;.
2223501001 Torres de Alcanadre sección 01001;.;.;.;.;.;.
22236 Torres de Barbués;55,1;4,7;32,8;2,28;28,8;253
2223601 Torres de Barbués distrito 01;55,1;4,7;32,8;2,28;28,8;253
2223601001 Torres de Barbués sección 01001;55,1;4,7;32,8;2,28;28,8;253
50262 Torres de Berrellén;44,9;16,3;21,8;2,49;24,7;1.446
5026201 Torres de Berrellén distrito 01;44,9;16,3;21,8;2,49;24,7;1.446
5026201001 Torres de Berrellén sección 01001;44,9;16,3;21,8;2,49;24,7;1.446
30038 Torres de Cotillas, Las;38,8;22;13,8;2,89;19,9;21.322
3003801 Torres de Cotillas, Las distrito 01;38,8;22;13,8;2,89;19,9;21.322
3003801001 Torres de Cotillas, Las sección 01001;41,4;18,6;15,6;2,85;20,8;1.192
3003801002 Torres de Cotillas, Las sección 01002;36,7;24,5;11;2,88;17,7;811
3003801003 Torres de Cotillas, Las sección 01003;37;23,9;9,9;2,99;14,6;1.026
3003801004 Torres de Cotillas, Las sección 01004;45,8;15,2;24,7;2,53;27;683
3003801005 Torres de Cotillas, Las sección 01005;40,3;19,9;16,5;2,87;20,4;1.769
3003801006 Torres de Cotillas, Las sección 01006;40,1;21,1;18,4;2,81;21,3;847
3003801007 Torres de Cotillas, Las sección 01007;41,1;19,3;17;2,88;23,7;1.203
3003801008 Torres de Cotillas, Las sección 01008;35,3;24,9;9,3;2,93;22,1;1.153
3003801009 Torres de Cotillas, Las sección 01009;37,8;22,6;13,1;2,85;24,9;1.590
3003801010 Torres de Cotillas, Las sección 01010;38,6;23,7;11,5;3,01;15,2;1.149
3003801011 Torres de Cotillas, Las sección 01011;35,2;28,4;6,1;3,2;10,2;1.189
3003801012 Torres de Cotillas, Las sección 01012;31,8;31,8;3,9;3,02;15,7;1.291
3003801013 Torres de Cotillas, Las sección 01013;35,5;23,8;8,3;2,98;14,5;926
3003801014 Torres de Cotillas, Las sección 01014;44,4;16,9;23,4;2,75;18,9;730
3003801015 Torres de Cotillas, Las sección 01015;39,1;20,6;13,3;2,98;15;836
3003801016 Torres de Cotillas, Las sección 01016;45;15;23,8;2,67;28,8;732
3003801017 Torres de Cotillas, Las sección 01017;42,4;17,3;19,3;2,7;24;878
3003801018 Torres de Cotillas, Las sección 01018;39,7;22;15,8;2,83;22;1.066
3003801019 Torres de Cotillas, Las sección 01019;42,6;18,4;21,1;2,79;19,7;836
3003801020 Torres de Cotillas, Las sección 01020;36,2;22,5;8,7;3,01;20,9;1.415
28154 Torres de la Alameda;38,6;22,3;12,2;2,94;18,6;7.447
2815401 Torres de la Alameda distrito 01;38,6;22,3;12,2;2,94;18,6;7.447
2815401001 Torres de la Alameda sección 01001;37,4;23,9;10,9;2,93;20,2;2.634
2815401002 Torres de la Alameda sección 01002;38,3;22,9;12,4;2,91;19,2;1.727
2815401003 Torres de la Alameda sección 01003;40,8;18,6;13,3;3,02;14,6;1.239
2815401004 Torres de la Alameda sección 01004;39;21,8;13,1;2,93;18,1;1.847
25232 Torres de Segre;43,9;15,5;20,1;2,64;25,3;2.115
2523201 Torres de Segre distrito 01;43,9;15,5;20,1;2,64;25,3;2.115
2523201001 Torres de Segre sección 01001;43,9;15,5;20,1;2,64;25,3;2.115
49222 Torres del Carrizal;49,9;8,2;26,6;2,27;33,5;413
4922201 Torres del Carrizal distrito 01;49,9;8,2;26,6;2,27;33,5;413
4922201001 Torres del Carrizal sección 01001;49,9;8,2;26,6;2,27;33,5;413
31231 Torres del Río;53,2;11,2;33,6;2,08;41,7;128
3123101 Torres del Río distrito 01;53,2;11,2;33,6;2,08;41,7;128
3123101001 Torres del Río sección 01001;53,2;11,2;33,6;2,08;41,7;128
46245 Torres Torres;47,2;11,8;22,2;2,1;40,9;636
4624501 Torres Torres distrito 01;47,2;11,8;22,2;2,1;40,9;636
4624501001 Torres Torres sección 01001;47,2;11,8;22,2;2,1;40,9;636
09390 Torresandino;54,3;5,8;33,5;2,71;28,8;621
0939001 Torresandino distrito 01;54,3;5,8;33,5;2,71;28,8;621
0939001001 Torresandino sección 01001;54,3;5,8;33,5;2,71;28,8;621
47172 Torrescárcela;52,4;11,7;35,7;2,52;27,9;154
4717201 Torrescárcela distrito 01;52,4;11,7;35,7;2,52;27,9;154
4717201001 Torrescárcela sección 01001;52,4;11,7;35,7;2,52;27,9;154
25233 Torre-serona;44,9;14;19,7;2,7;27,7;380
2523301 Torre-serona distrito 01;44,9;14;19,7;2,7;27,7;380
2523301001 Torre-serona sección 01001;44,9;14;19,7;2,7;27,7;380
37327 Torresmenudas;52,2;5,8;29,5;2,35;35,8;190
3732701 Torresmenudas distrito 01;52,2;5,8;29,5;2,35;35,8;190
3732701001 Torresmenudas sección 01001;52,2;5,8;29,5;2,35;35,8;190
44230 Torrevelilla;50,9;12,3;33,7;2,28;40,2;187
4423001 Torrevelilla distrito 01;50,9;12,3;33,7;2,28;40,2;187
4423001001 Torrevelilla sección 01001;50,9;12,3;33,7;2,28;40,2;187
03133 Torrevieja;44,1;16,5;22,5;2,33;35,7;82.080
0313301 Torrevieja distrito 01;43,8;16,9;22,6;2,42;32,2;22.738
0313301001 Torrevieja sección 01001;44,2;16,4;22,3;2,46;31,2;1.167
0313301002 Torrevieja sección 01002;48,4;12,8;30,7;2,45;32,9;1.108
0313301003 Torrevieja sección 01003;40,8;20;17,2;2,52;32,3;2.421
0313301004 Torrevieja sección 01004;43,9;15,1;20,1;2,57;28,5;1.852
0313301005 Torrevieja sección 01005;40,3;19,3;15,9;2,58;27;2.420
0313301006 Torrevieja sección 01006;38,9;20,3;13,9;2,58;32,2;3.744
0313301007 Torrevieja sección 01007;45,4;14,5;22,6;2,39;33,2;1.933
0313301008 Torrevieja sección 01008;52,9;11;41,1;2,02;38,1;3.952
0313301009 Torrevieja sección 01009;40;20,3;17,1;2,56;28,7;3.805
0313302 Torrevieja distrito 02;44,3;16,7;22,8;2,34;35,2;23.004
0313302001 Torrevieja sección 02001;40,6;19,2;15,2;2,52;31,8;2.132
0313302002 Torrevieja sección 02002;44,5;14,8;21,6;2,33;37,1;1.095
0313302003 Torrevieja sección 02003;44,3;17,1;23,4;2,45;32,3;2.917
0313302004 Torrevieja sección 02004;47,7;12,6;27,5;2,05;42,3;1.337
0313302005 Torrevieja sección 02005;44,9;15,7;23,5;2,21;37;3.545
0313302006 Torrevieja sección 02006;40,9;18,9;17,2;2,45;31,8;3.068
0313302007 Torrevieja sección 02007;45,7;16,2;25;2,37;33,2;3.414
0313302008 Torrevieja sección 02008;47,6;14,2;28,1;2,07;43,9;1.644
0313302009 Torrevieja sección 02009;44,5;17,5;25;2,4;34,2;3.852
0313303 Torrevieja distrito 03;44,2;16,2;22,2;2,27;38;36.338
0313303001 Torrevieja sección 03001;42,7;15,5;19,4;2,44;36,9;1.175
0313303002 Torrevieja sección 03002;43,1;16,4;19,3;2,47;33,3;2.740
0313303003 Torrevieja sección 03003;41,1;18;17,4;2,5;32,9;2.445
0313303004 Torrevieja sección 03004;48,7;13,2;31,8;1,98;44,9;3.441
0313303005 Torrevieja sección 03005;43,5;16,1;20;2,44;33;1.985
0313303006 Torrevieja sección 03006;44,9;14,7;22,5;2,11;43,9;2.779
0313303007 Torrevieja sección 03007;45,6;14,1;23,7;2,17;43,1;1.812
0313303008 Torrevieja sección 03008;45,6;15,1;25,3;2,31;35;2.005
0313303009 Torrevieja sección 03009;42,2;18,6;18,8;2,45;33,1;2.420
0313303010 Torrevieja sección 03010;44,8;14,4;21,4;2,12;44;3.202
0313303011 Torrevieja sección 03011;44,6;17,4;24,1;2,21;37,3;2.551
0313303012 Torrevieja sección 03012;42,7;18,5;19,8;2,28;39,9;1.934
0313303013 Torrevieja sección 03013;44,6;15;22,8;2,26;37,9;2.446
0313303014 Torrevieja sección 03014;44,6;15,3;22,3;2,29;36,8;2.263
0313303015 Torrevieja sección 03015;42,4;20,6;20,1;2,42;30,5;3.140
45172 Torrico;53,9;8,2;36,7;2,32;32,3;712
4517201 Torrico distrito 01;53,9;8,2;36,7;2,32;32,3;712
4517201001 Torrico sección 01001;53,9;8,2;36,7;2,32;32,3;712
44231 Torrijas;.;.;.;.;.;.
4423101 Torrijas distrito 01;.;.;.;.;.;.
4423101001 Torrijas sección 01001;.;.;.;.;.;.
50263 Torrijo de la Cañada;56,5;3,5;40,9;1,81;47,6;199
5026301 Torrijo de la Cañada distrito 01;56,8;3,5;41,6;1,81;48,2;199
5026301001 Torrijo de la Cañada sección 01001;57;3,5;43,2;1,81;50,7;199
44232 Torrijo del Campo;52,3;9,3;34,2;2,19;37,1;442
4423201 Torrijo del Campo distrito 01;52,3;9,3;34,2;2,19;37,1;442
4423201001 Torrijo del Campo sección 01001;52,3;9,3;34,2;2,19;37,1;442
45173 Torrijos;40,2;20,5;15,9;2,78;22,2;13.376
4517301 Torrijos distrito 01;41,6;18,9;16,9;2,73;23,2;6.615
4517301001 Torrijos sección 01001;41,8;19,4;17,3;2,73;21,6;1.203
4517301002 Torrijos sección 01002;40,9;19,6;15,1;2,8;19,5;2.411
4517301003 Torrijos sección 01003;40,6;18,9;14,7;2,75;24,6;1.975
4517301004 Torrijos sección 01004;44,7;16,6;24,9;2,55;30,4;1.026
4517302 Torrijos distrito 02;39;22;15;2,82;21,3;6.761
4517302001 Torrijos sección 02001;39,9;20,7;17,3;2,7;23,4;2.137
4517302002 Torrijos sección 02002;40,8;19,4;17,7;2,76;21,4;1.456
4517302003 Torrijos sección 02003;37,8;23,8;12,5;2,82;23,6;1.684
4517302004 Torrijos sección 02004;37,2;24,4;11,9;3,06;14,6;1.484
17198 Torroella de Fluvià;42,1;16,7;16;2,43;30,9;693
1719801 Torroella de Fluvià distrito 01;42,1;16,7;16;2,43;30,9;693
1719801001 Torroella de Fluvià sección 01001;42,1;16,7;16;2,43;30,9;693
17199 Torroella de Montgrí;41,9;18,7;18;2,62;28,2;11.455
1719901 Torroella de Montgrí distrito 01;41,9;18,7;18;2,62;28,2;11.455
1719901001 Torroella de Montgrí sección 01001;42,7;17,4;18,7;2,63;28,5;1.686
1719901002 Torroella de Montgrí sección 01002;43,2;17,1;20,6;2,56;31,9;947
1719901003 Torroella de Montgrí sección 01003;40,8;18,3;16,2;2,39;36,8;3.008
1719901004 Torroella de Montgrí sección 01004;43,1;18,2;20,6;2,82;20,5;1.979
1719901005 Torroella de Montgrí sección 01005;39,4;22,5;15,4;3,01;20;1.251
1719901006 Torroella de Montgrí sección 01006;39,4;22,4;13,5;2,87;19,3;1.485
1719901007 Torroella de Montgrí sección 01007;46,5;14,3;24,4;2,34;30,7;1.099
43154 Torroja del Priorat;51,8;8,7;32,9;2,16;33,3;149
4315401 Torroja del Priorat distrito 01;51,8;8,7;32,9;2,16;33,3;149
4315401001 Torroja del Priorat sección 01001;51,8;8,7;32,9;2,16;33,3;149
29091 Torrox;45,1;16;24,2;2,26;35,2;17.101
2909101 Torrox distrito 01;48,7;13;31,3;2,18;34,3;3.891
2909101001 Torrox sección 01001;49,2;11,6;30,4;2,22;33,3;1.656
2909101002 Torrox sección 01002;50,3;12,9;36,9;2,1;36,2;963
2909101003 Torrox sección 01003;46,8;15;28,2;2,19;34;1.272
2909102 Torrox distrito 02;45,6;16;25,3;2,22;35,5;7.849
2909102001 Torrox sección 02001;38,1;22;11,7;2,74;22;2.309
2909102002 Torrox sección 02002;47,1;15;27,9;2,14;39,2;3.393
2909102003 Torrox sección 02003;51,1;11,1;35,6;1,94;40,6;2.147
2909103 Torrox distrito 03;41,7;18,2;17,4;2,36;35,4;5.361
2909103001 Torrox sección 03001;42,2;18,1;18,3;2,35;35,6;2.857
2909103002 Torrox sección 03002;41,3;18,5;16,3;2,38;35,1;2.504
19285 Torrubia;.;.;.;.;.;.
1928501 Torrubia distrito 01;.;.;.;.;.;.
1928501001 Torrubia sección 01001;.;.;.;.;.;.
42187 Torrubia de Soria;.;.;.;.;.;.
4218701 Torrubia de Soria distrito 01;.;.;.;.;.;.
4218701001 Torrubia de Soria sección 01001;.;.;.;.;.;.
16212 Torrubia del Campo;52,3;10;33,3;2,07;42,9;261
1621201 Torrubia del Campo distrito 01;52,3;10;33,3;2,07;42,9;261
1621201001 Torrubia del Campo sección 01001;52,3;10;33,3;2,07;42,9;261
16213 Torrubia del Castillo;.;.;.;.;.;.
