CODIGO;NUM_VIVIENDA_TURISTICA;TOTAL_PLAZAS;RATIO_PLAZA_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;MUN;MUN_LITERAL
4619001014;0;0;;0,0;46190;Paterna
4619001015;0;0;;0,0;46190;Paterna
4619001016;1;6;6,0;0,1;46190;Paterna
4619001017;1;2;2,0;0,1;46190;Paterna
4619001018;2;6;3,0;0,3;46190;Paterna
4619001019;1;4;4,0;0,1;46190;Paterna
4619001020;1;2;2,0;0,3;46190;Paterna
4619001021;2;7;3,5;0,3;46190;Paterna
4619001022;0;0;;0,0;46190;Paterna
4619001023;0;0;;0,0;46190;Paterna
4619001024;1;1;1,0;0,1;46190;Paterna
4619001025;2;12;6,0;0,3;46190;Paterna
4619001026;1;2;2,0;0,3;46190;Paterna
4619001027;1;3;3,0;0,4;46190;Paterna
4619001028;3;26;8,7;0,4;46190;Paterna
4619001030;8;26;3,3;0,4;46190;Paterna
4619001031;0;0;;0,0;46190;Paterna
4619001032;2;3;1,5;0,1;46190;Paterna
4619001033;2;6;3,0;0,1;46190;Paterna
4619001034;3;18;6,0;0,4;46190;Paterna
4619001035;4;25;6,3;0,7;46190;Paterna
4619001036;1;1;1,0;0,1;46190;Paterna
4619001037;2;13;6,5;0,2;46190;Paterna
4619001038;0;0;;0,0;46190;Paterna
4619001039;5;14;2,8;0,4;46190;Paterna
4619001040;6;21;3,5;0,6;46190;Paterna
4619001041;3;6;2,0;0,4;46190;Paterna
4619001042;0;0;;0,0;46190;Paterna
4619001043;3;11;3,7;0,2;46190;Paterna
4619001044;2;3;1,5;0,3;46190;Paterna
4619001045;5;18;3,6;;46190;Paterna
4619001046;0;0;;;46190;Paterna
4619001047;0;0;;0,0;46190;Paterna
4619001048;3;9;3,0;;46190;Paterna
4619101001;10;53;5,3;0,4;46191;Pedralba
4619201001;1;6;6,0;0,2;46192;Petrés
4619301001;0;0;;0,0;46193;Picanya
4619301002;1;1;1,0;0,2;46193;Picanya
4619301003;2;10;5,0;0,4;46193;Picanya
4619301004;0;0;;0,0;46193;Picanya
4619301005;0;0;;0,0;46193;Picanya
4619301006;3;6;2,0;0,4;46193;Picanya
4619301007;0;0;;0,0;46193;Picanya
4619401001;0;0;;0,0;46194;Picassent
4619401002;0;0;;0,0;46194;Picassent
4619401003;1;2;2,0;0,1;46194;Picassent
4619401004;2;21;10,5;0,4;46194;Picassent
4619401005;2;15;7,5;0,4;46194;Picassent
4619401006;2;3;1,5;0,4;46194;Picassent
4619401007;3;13;4,3;0,4;46194;Picassent
4619401008;8;36;4,5;0,7;46194;Picassent
4619401009;0;0;;0,0;46194;Picassent
4619401010;0;0;;0,0;46194;Picassent
4619401011;0;0;;0,0;46194;Picassent
4619401012;1;2;2,0;0,1;46194;Picassent
4619401013;3;28;9,3;0,2;46194;Picassent
4619401014;2;3;1,5;0,3;46194;Picassent
4619501001;62;327;5,3;1,9;46195;Piles
4619601001;2;14;7,0;1,6;46196;Pinet
4619701001;3;16;5,3;0,2;46197;Polinyà de Xúquer
4619801001;2;4;2,0;0,3;46198;Potríes
4619901001;0;0;;0,0;46199;Pobla de Farnals, la
4619901002;3;12;4,0;0,4;46199;Pobla de Farnals, la
4619901003;4;32;8,0;0,4;46199;Pobla de Farnals, la
4619901004;46;235;5,1;1,3;46199;Pobla de Farnals, la
4619901005;30;138;4,6;1,6;46199;Pobla de Farnals, la
4620001001;0;0;;0,0;46200;Pobla del Duc, la
4620001002;1;8;8,0;0,1;46200;Pobla del Duc, la
4620101001;3;17;5,7;1,7;46201;Puebla de San Miguel
4620201001;1;4;4,0;0,1;46202;Pobla de Vallbona, la
4620201002;4;14;3,5;0,3;46202;Pobla de Vallbona, la
4620201003;1;2;2,0;0,1;46202;Pobla de Vallbona, la
4620201004;0;0;;0,0;46202;Pobla de Vallbona, la
4620201005;3;16;5,3;0,3;46202;Pobla de Vallbona, la
4620201006;10;61;6,1;0,9;46202;Pobla de Vallbona, la
4620201007;2;7;3,5;0,2;46202;Pobla de Vallbona, la
4620201008;6;46;7,7;0,6;46202;Pobla de Vallbona, la
4620201009;0;0;;0,0;46202;Pobla de Vallbona, la
4620201010;2;11;5,5;0,2;46202;Pobla de Vallbona, la
4620301001;0;0;;0,0;46203;Pobla Llarga, la
4620301002;0;0;;0,0;46203;Pobla Llarga, la
4620301003;3;18;6,0;0,5;46203;Pobla Llarga, la
4620401001;9;50;5,6;0,8;46204;Puig
4620401002;1;14;14,0;0,1;46204;Puig
4620402001;1;3;3,0;0,1;46204;Puig
4620402002;51;250;4,9;1,5;46204;Puig
4620501001;1;2;2,0;0,1;46205;Puçol
4620501002;4;18;4,5;0,6;46205;Puçol
4620501003;0;0;;0,0;46205;Puçol
4620501004;2;7;3,5;0,3;46205;Puçol
4620501005;3;5;1,7;0,3;46205;Puçol
4620501006;1;1;1,0;0,1;46205;Puçol
4620501007;3;15;5,0;0,4;46205;Puçol
4620501008;1;2;2,0;0,2;46205;Puçol
4620501009;11;91;8,3;1,0;46205;Puçol
4620501010;0;0;;0,0;46205;Puçol
4620501011;3;7;2,3;0,6;46205;Puçol
4620501012;19;99;5,2;3,4;46205;Puçol
4620601001;2;14;7,0;0,3;46206;Quesa
4620701001;2;2;1,0;0,2;46207;Rafelbuñol/Rafelbunyol
4620701002;0;0;;0,0;46207;Rafelbuñol/Rafelbunyol
4620701003;1;2;2,0;0,1;46207;Rafelbuñol/Rafelbunyol
4620701004;0;0;;0,0;46207;Rafelbuñol/Rafelbunyol
4620801001;2;13;6,5;0,2;46208;Rafelcofer
4620901001;0;0;;0,0;46209;Rafelguaraf
4620901002;1;5;5,0;0,2;46209;Rafelguaraf
4621001001;1;6;6,0;0,3;46210;Ráfol de Salem
4621101001;16;130;8,1;1,5;46211;Real de Gandía
4621201001;2;14;7,0;0,1;46212;Real
4621301001;2;10;5,0;0,1;46213;Requena
4621301002;5;20;4,0;0,3;46213;Requena
4621301003;0;0;;0,0;46213;Requena
4621302002;4;37;9,3;0,3;46213;Requena
4621302003;0;0;;0,0;46213;Requena
4621302004;0;0;;0,0;46213;Requena
4621302005;2;13;6,5;0,2;46213;Requena
4621302006;0;0;;0,0;46213;Requena
4621302007;3;14;4,7;0,2;46213;Requena
4621303001;5;24;4,8;0,5;46213;Requena
4621303002;0;0;;0,0;46213;Requena
4621303003;3;19;6,3;0,4;46213;Requena
4621304001;2;13;6,5;0,2;46213;Requena
4621401001;3;15;5,0;0,3;46214;Riba-roja de Túria
4621401002;0;0;;0,0;46214;Riba-roja de Túria
4621402001;2;5;2,5;0,2;46214;Riba-roja de Túria
4621402002;1;1;1,0;0,1;46214;Riba-roja de Túria
4621402003;1;2;2,0;0,1;46214;Riba-roja de Túria
4621402004;9;65;7,2;0,6;46214;Riba-roja de Túria
4621402005;1;2;2,0;0,1;46214;Riba-roja de Túria
4621403001;0;0;;0,0;46214;Riba-roja de Túria
4621403002;7;44;6,3;0,6;46214;Riba-roja de Túria
4621403003;5;24;4,8;0,6;46214;Riba-roja de Túria
4621403004;6;45;7,5;0,7;46214;Riba-roja de Túria
4621501001;0;0;;0,0;46215;Riola
4621601001;0;0;;0,0;46216;Rocafort
4621601002;8;27;3,4;0,6;46216;Rocafort
4621601003;1;5;5,0;0,1;46216;Rocafort
4621701001;1;4;4,0;0,1;46217;Rotglà i Corberà
4621801001;3;26;8,7;0,4;46218;Rótova
4621901001;1;4;4,0;0,8;46219;Rugat
4622001001;3;3;1,0;0,5;46220;Sagunto/Sagunt
4622001002;0;0;;0,0;46220;Sagunto/Sagunt
4622001003;1;6;6,0;0,1;46220;Sagunto/Sagunt
4622001004;0;0;;0,0;46220;Sagunto/Sagunt
4622001005;3;11;3,7;0,5;46220;Sagunto/Sagunt
4622001006;0;0;;0,0;46220;Sagunto/Sagunt
4622002002;8;39;4,9;0,8;46220;Sagunto/Sagunt
4622002003;5;14;2,8;0,6;46220;Sagunto/Sagunt
4622002004;5;30;6,0;0,5;46220;Sagunto/Sagunt
4622003001;1;4;4,0;0,2;46220;Sagunto/Sagunt
4622003002;5;17;3,4;0,7;46220;Sagunto/Sagunt
4622003003;0;0;;0,0;46220;Sagunto/Sagunt
4622003004;2;9;4,5;0,2;46220;Sagunto/Sagunt
4622003005;1;7;7,0;0,1;46220;Sagunto/Sagunt
4622003006;38;239;6,3;4,6;46220;Sagunto/Sagunt
4622003007;0;0;;0,0;46220;Sagunto/Sagunt
4622003008;0;0;;0,0;46220;Sagunto/Sagunt
4622003009;85;498;5,9;3,6;46220;Sagunto/Sagunt
4622004001;0;0;;0,0;46220;Sagunto/Sagunt
4622004002;1;1;1,0;0,2;46220;Sagunto/Sagunt
4622004003;1;4;4,0;0,3;46220;Sagunto/Sagunt
4622004004;2;8;4,0;0,5;46220;Sagunto/Sagunt
4622004005;2;5;2,5;0,2;46220;Sagunto/Sagunt
4622004006;2;5;2,5;0,2;46220;Sagunto/Sagunt
4622004007;1;6;6,0;0,1;46220;Sagunto/Sagunt
4622004008;2;13;6,5;0,2;46220;Sagunto/Sagunt
4622004009;2;8;4,0;0,2;46220;Sagunto/Sagunt
4622004010;14;59;4,2;1,9;46220;Sagunto/Sagunt
4622004011;9;50;5,6;0,6;46220;Sagunto/Sagunt
4622004012;6;24;4,0;0,7;46220;Sagunto/Sagunt
4622004013;7;40;5,7;0,8;46220;Sagunto/Sagunt
4622004014;8;40;5,0;1,0;46220;Sagunto/Sagunt
4622004015;7;25;3,6;1,1;46220;Sagunto/Sagunt
4622004016;4;20;5,0;0,5;46220;Sagunto/Sagunt
4622004017;20;105;5,3;0,7;46220;Sagunto/Sagunt
4622004018;13;57;4,4;1,0;46220;Sagunto/Sagunt
4622004019;5;23;4,6;0,7;46220;Sagunto/Sagunt
4622004020;1;8;8,0;0,1;46220;Sagunto/Sagunt
4622004021;1;6;6,0;0,2;46220;Sagunto/Sagunt
4622004022;0;0;;0,0;46220;Sagunto/Sagunt
4622004023;4;23;5,8;0,7;46220;Sagunto/Sagunt
4622004024;2;10;5,0;0,2;46220;Sagunto/Sagunt
4622004025;1;3;3,0;0,1;46220;Sagunto/Sagunt
4622004026;1;2;2,0;0,2;46220;Sagunto/Sagunt
4622004027;9;44;4,9;1,2;46220;Sagunto/Sagunt
4622004028;1;8;8,0;0,1;46220;Sagunto/Sagunt
4622004029;8;41;5,1;0,9;46220;Sagunto/Sagunt
4622004030;3;10;3,3;0,4;46220;Sagunto/Sagunt
4622004031;0;0;;0,0;46220;Sagunto/Sagunt
4622101001;1;8;8,0;0,4;46221;Salem
4622201001;0;0;;0,0;46222;Sant Joanet
4622301001;0;0;;0,0;46223;Sedaví
4622301002;3;11;3,7;0,3;46223;Sedaví
4622301003;2;10;5,0;0,3;46223;Sedaví
4622301004;5;10;2,0;0,4;46223;Sedaví
4622301005;0;0;;0,0;46223;Sedaví
4622301006;0;0;;0,0;46223;Sedaví
4622401001;0;0;;0,0;46224;Segart
4622501001;1;4;4,0;0,4;46225;Sellent
4622601001;0;0;;;46226;Sempere
4622701001;0;0;;0,0;46227;Senyera
4622801001;4;19;4,8;0,2;46228;Serra
4622801002;3;28;9,3;0,4;46228;Serra
4622901001;11;46;4,2;0,5;46229;Siete Aguas
4623001001;0;0;;0,0;46230;Silla
4623001002;0;0;;0,0;46230;Silla
4623001003;0;0;;0,0;46230;Silla
4623001004;0;0;;0,0;46230;Silla
4623001005;0;0;;0,0;46230;Silla
4623001006;0;0;;0,0;46230;Silla
4623001007;0;0;;0,0;46230;Silla
4623001008;2;6;3,0;0,2;46230;Silla
4623001009;0;0;;0,0;46230;Silla
4623001010;0;0;;0,0;46230;Silla
4623001011;1;3;3,0;0,1;46230;Silla
4623001012;0;0;;0,0;46230;Silla
4623001013;1;2;2,0;0,2;46230;Silla
4623101001;1;12;12,0;0,1;46231;Simat de la Valldigna
4623101002;8;57;7,1;0,8;46231;Simat de la Valldigna
4623201001;0;0;;0,0;46232;Sinarcas
4623301001;0;0;;0,0;46233;Sollana
4623301002;2;6;3,0;0,2;46233;Sollana
4623301003;0;0;;0,0;46233;Sollana
