,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
151,OPERATIONAL,LAVANDERÍA AUTO SERVICIO KWL CALIXTO,4.3,"['laundry', 'point_of_interest', 'establishment']",24.0,39.4700188,-0.3903495,lavanderias,0317,laundry
152,OPERATIONAL,Laundromat CE Colada Expres,4.7,"['laundry', 'point_of_interest', 'establishment']",46.0,39.4604514,-0.36562490000000003,lavanderias,1012,laundry
154,OPERATIONAL,CE Colada Expres Lavaderias Autoservicio,3.8,"['laundry', 'point_of_interest', 'establishment']",37.0,39.4623673,-0.3709705,lavanderias,0213,laundry
155,OPERATIONAL,Ce Colada Expres Lavanderias Autoservicio,4.6,"['laundry', 'point_of_interest', 'establishment']",18.0,39.470402,-0.3949347,lavanderias,0718,laundry
156,OPERATIONAL,Lavandería de Autoservicio,4.7,"['laundry', 'point_of_interest', 'establishment']",6.0,39.4712811,-0.397032,lavanderias,0718,laundry
159,OPERATIONAL,Carmen Laundry Serranos,5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.479868599999996,-0.3772439,lavanderias,0111,laundry
160,OPERATIONAL,Autolavado,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.462767799999995,-0.40338579999999996,lavanderias,0837,laundry
161,OPERATIONAL,CE Colada Express,5.0,"['laundry', 'point_of_interest', 'establishment']",3.0,39.4495297,-0.3894588,lavanderias,0921,laundry
162,OPERATIONAL,Ecolada Plus,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4696326,-0.37947420000000004,lavanderias,0134,laundry
163,OPERATIONAL,Lavadería autoservicio Lavanda Laundry Primado Reig,3.2,"['laundry', 'point_of_interest', 'establishment']",18.0,39.48242020000001,-0.36067140000000003,lavanderias,1415,laundry
164,OPERATIONAL,Lavandería Autoservicio Laudry,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.46957090000001,-0.3539275,lavanderias,1220,laundry
165,OPERATIONAL,La Wash,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4821712,-0.38807559999999997,lavanderias,0401,laundry
166,OPERATIONAL,Punto La Gobernanta · La botiga de les compostures,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.449827500000005,-0.3896493,lavanderias,0921,laundry
168,OPERATIONAL,Lacolada,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.46834129999999,-0.3600917,lavanderias,0614,laundry
169,OPERATIONAL,Limpieza De Tapicerias,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4547798,-0.4058364,lavanderias,0821,laundry
170,OPERATIONAL,Punto La Gobernanta · Fils i tisores,4.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.4839219,-0.3783302,lavanderias,0513,laundry
171,OPERATIONAL,AGUACERO LAVANDERíA,4.6,"['laundry', 'point_of_interest', 'establishment']",9.0,39.4782265,-0.3523135,lavanderias,1328,laundry
174,OPERATIONAL,Ce Colada Expres Lavanderias Autoservicio,4.7,"['laundry', 'point_of_interest', 'establishment']",9.0,39.4662342,-0.3919384,lavanderias,0802,laundry
176,OPERATIONAL,Open Clean,3.8,"['laundry', 'point_of_interest', 'establishment']",15.0,39.469592999999996,-0.34733,lavanderias,1307,laundry
177,OPERATIONAL,LAVANDERÍA WASHING HOUSE,4.6,"['laundry', 'point_of_interest', 'establishment']",27.0,39.4760616,-0.3851725,lavanderias,0308,laundry
178,OPERATIONAL,Lacolada | Patraix - Lavanderías Auto-Servicio,4.1,"['laundry', 'point_of_interest', 'establishment']",17.0,39.4611437,-0.39328609999999997,lavanderias,0812,laundry
179,OPERATIONAL,Lacolada,3.9,"['laundry', 'point_of_interest', 'establishment']",11.0,39.45227,-0.39123379999999996,lavanderias,0919,laundry
180,OPERATIONAL,Lavanderia Autoservicio KWL-AQUA,3.9,"['laundry', 'point_of_interest', 'establishment']",21.0,39.4672316,-0.32876170000000005,lavanderias,1115,laundry
181,OPERATIONAL,Lavandería Autoservicio Clean Blue,4.8,"['laundry', 'point_of_interest', 'establishment']",5.0,39.4542749,-0.3786415,lavanderias,1024,laundry
183,OPERATIONAL,CE Colada Express,3.9,"['laundry', 'point_of_interest', 'establishment']",15.0,39.4663323,-0.35353959999999995,lavanderias,1222,laundry
184,OPERATIONAL,Lavandería Speed Queen,3.9,"['laundry', 'point_of_interest', 'establishment']",15.0,39.461778499999994,-0.3991187,lavanderias,0823,laundry
185,OPERATIONAL,WASHLAB - Lavanderia Express,5.0,"['laundry', 'point_of_interest', 'establishment']",24.0,39.4628338,-0.4034454,lavanderias,0826,laundry
186,OPERATIONAL,La Colada Lavanderia Autoservicio / Avenida Burjasot Valencia,4.5,"['laundry', 'point_of_interest', 'establishment']",16.0,39.4843542,-0.3843829,lavanderias,0410,laundry
187,OPERATIONAL,Lavandería Autoservicio Speed Queen,4.5,"['laundry', 'point_of_interest', 'establishment']",13.0,39.4695802,-0.35399990000000003,lavanderias,1220,laundry
188,OPERATIONAL,La Colada,4.6,"['laundry', 'point_of_interest', 'establishment']",32.0,39.462869700000006,-0.4003899,lavanderias,0836,laundry
190,OPERATIONAL,Lavanda Mestalla Lavandería Autoservicio,4.0,"['laundry', 'point_of_interest', 'establishment']",7.0,39.4736077,-0.3599104,lavanderias,0608,laundry
